,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
UPHSD,109.0,245.0,38.0,167.0,69.0,122.0,76.0,161.0,80.0,77.0,56.0,13.0,119.0,108.0,1.0,26.0,6.0,1200.0,147.0,412.0,35.679611650485434,44.48979591836735,22.75449101796407,56.557377049180324,401.0,237.0,69.0
AU,100.0,226.0,42.0,138.0,79.0,109.0,50.0,158.0,90.0,78.0,35.0,25.0,120.0,92.0,6.0,52.0,5.0,1000.0,142.0,364.0,39.010989010989015,44.24778761061947,30.434782608695652,72.4770642201835,405.0,208.0,60.0
MU,93.0,215.0,31.0,108.0,88.0,131.0,45.0,142.0,76.0,68.0,37.0,14.0,93.0,116.0,4.0,23.0,5.0,1000.0,124.0,323.0,38.39009287925697,43.25581395348837,28.703703703703702,67.17557251908397,367.0,187.0,51.0
SSCR,133.0,258.0,35.0,133.0,128.0,188.0,61.0,196.0,116.0,101.0,38.0,22.0,125.0,165.0,39.0,51.0,6.0,1200.0,168.0,391.0,42.966751918158565,51.55038759689923,26.31578947368421,68.08510638297872,499.0,257.0,60.0
LPU,121.0,230.0,35.0,133.0,86.0,131.0,73.0,148.0,93.0,65.0,35.0,16.0,114.0,116.0,-6.0,28.0,5.0,1000.0,156.0,363.0,42.97520661157025,52.608695652173914,26.31578947368421,65.64885496183206,433.0,221.0,51.0
JRU,110.0,214.0,34.0,105.0,78.0,111.0,51.0,128.0,70.0,64.0,41.0,20.0,120.0,100.0,30.0,56.0,5.0,1000.0,144.0,319.0,45.141065830721004,51.401869158878505,32.38095238095238,70.27027027027027,400.0,179.0,61.0
CSJL,104.0,232.0,33.0,133.0,71.0,113.0,68.0,112.0,75.0,56.0,44.0,17.0,107.0,107.0,5.0,25.0,5.0,1000.0,137.0,365.0,37.534246575342465,44.827586206896555,24.81203007518797,62.83185840707964,378.0,180.0,61.0
CSB,86.0,212.0,27.0,141.0,54.0,97.0,62.0,111.0,56.0,62.0,36.0,19.0,97.0,97.0,-65.0,14.0,5.0,1000.0,113.0,353.0,32.01133144475921,40.56603773584906,19.148936170212767,55.670103092783506,307.0,173.0,55.0
SBU,73.0,189.0,43.0,174.0,61.0,96.0,64.0,123.0,70.0,47.0,34.0,13.0,119.0,95.0,-25.0,25.0,5.0,1000.0,116.0,363.0,31.955922865013775,38.62433862433863,24.71264367816092,63.541666666666664,336.0,187.0,47.0
EAC,92.0,225.0,31.0,130.0,77.0,138.0,81.0,164.0,77.0,70.0,36.0,15.0,116.0,114.0,11.0,40.0,5.0,1000.0,123.0,355.0,34.647887323943664,40.888888888888886,23.846153846153847,55.79710144927536,354.0,245.0,51.0
League,102.1,224.6,34.9,136.2,79.1,123.6,63.1,144.3,80.3,68.8,39.2,17.4,113.0,111.0,0.0,34.0,5.2,1040.0,137.0,360.79999999999995,37.97117516629712,45.45859305431879,25.624082232011748,63.996763754045304,388.0,207.4,56.6
