TEAM,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
CSB,18.0,42.333333333333336,5.0,27.333333333333332,10.666666666666666,21.0,13.333333333333334,22.666666666666668,11.666666666666666,14.0,7.333333333333333,3.6666666666666665,21.0,19.333333333333332,-13.333333333333334,0.0,3,200.0,23.0,69.66666666666667,33.014354067,42.5196850394,18.2926829268,50.7936507937,61.666666666666664,36.0,11.0
SBU,16.333333333333332,37.0,8.0,38.666666666666664,12.666666666666666,21.333333333333332,14.666666666666666,26.0,12.333333333333334,9.333333333333334,6.666666666666667,2.3333333333333335,25.0,20.666666666666668,-7.0,12.0,3,200.0,24.333333333333332,75.66666666666667,32.1585903084,44.1441441441,20.6896551724,59.375,69.33333333333333,40.666666666666664,9.0
UPHSD,18.0,40.0,6.666666666666667,21.0,12.0,19.666666666666668,9.666666666666666,23.666666666666668,14.0,14.333333333333334,9.666666666666666,2.0,18.333333333333332,19.333333333333332,-4.0,11.0,3,200.0,24.666666666666668,61.0,40.4371584699,45.0,31.746031746,61.0169491525,68.0,33.333333333333336,11.666666666666666
CSJL,21.666666666666668,48.666666666666664,6.0,26.0,16.0,22.333333333333332,13.666666666666666,17.666666666666668,14.666666666666666,10.333333333333334,9.333333333333334,3.6666666666666665,22.0,22.0,-2.6666666666666665,13.0,3,200.0,27.666666666666668,74.66666666666667,37.0535714286,44.5205479452,23.0769230769,71.6417910448,77.33333333333333,31.333333333333332,13.0
League,20.0,43.0,6.966666666666666,26.133333333333336,15.200000000000001,23.766666666666666,12.5,26.900000000000002,15.666666666666666,13.366666666666667,7.533333333333334,3.4,22.099999999999998,21.8,0.0,19.5,3,200.0,26.96666666666667,69.13333333333334,39.0067502411,46.511627907,26.6581632653,63.9551192146,76.10000000000001,39.4,10.933333333333332
SSCR,19.333333333333332,35.666666666666664,8.333333333333334,27.0,23.666666666666668,34.0,11.0,28.666666666666668,19.0,17.666666666666668,4.333333333333333,2.3333333333333335,23.666666666666668,28.333333333333332,0.3333333333333333,12.0,3,200.0,27.666666666666668,62.666666666666664,44.1489361702,54.2056074766,30.8641975309,69.6078431373,87.33333333333333,39.666666666666664,6.666666666666667
MU,20.0,46.333333333333336,5.0,20.333333333333332,14.666666666666666,22.0,9.0,29.666666666666668,15.666666666666666,14.333333333333334,8.0,3.0,15.666666666666666,22.666666666666668,1.3333333333333333,13.0,3,200.0,25.0,66.66666666666667,37.5,43.1654676259,24.5901639344,66.6666666667,69.66666666666667,38.666666666666664,11.0
LPU,22.666666666666668,42.0,8.333333333333334,27.333333333333332,18.333333333333332,26.666666666666668,15.0,30.666666666666668,19.666666666666668,14.0,6.666666666666667,3.6666666666666665,24.0,24.666666666666668,4.333333333333333,28.0,3,200.0,31.0,69.33333333333333,44.7115384615,53.9682539683,30.487804878,68.75,88.66666666666667,45.666666666666664,10.333333333333334
AU,19.666666666666668,45.333333333333336,8.666666666666666,27.0,15.333333333333334,22.0,12.0,31.666666666666668,18.0,15.0,6.333333333333333,6.333333333333333,22.0,18.666666666666668,5.333333333333333,38.0,3,200.0,28.333333333333332,72.33333333333333,39.1705069124,43.3823529412,32.0987654321,69.696969697,80.66666666666667,43.666666666666664,12.666666666666666
EAC,21.0,50.666666666666664,6.666666666666667,25.333333333333332,13.333333333333334,24.666666666666668,16.333333333333332,35.333333333333336,15.333333333333334,12.666666666666666,8.333333333333334,2.3333333333333335,26.0,21.0,6.0,27.0,3,200.0,27.666666666666668,76.0,36.4035087719,41.4473684211,26.3157894737,54.0540540541,75.33333333333333,51.666666666666664,10.666666666666666
JRU,23.333333333333332,42.0,7.0,21.333333333333332,15.333333333333334,24.0,10.333333333333334,23.0,16.333333333333332,12.0,8.666666666666666,4.666666666666667,23.333333333333332,21.333333333333332,9.666666666666666,41.0,3,200.0,30.333333333333332,63.333333333333336,47.8947368421,55.5555555556,32.8125,63.8888888889,83.0,33.333333333333336,13.333333333333334
