,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
JRU,238.0,453.0,61.0,231.0,140.0,213.0,121.0,248.0,132.0,142.0,81.0,39.0,235.0,201.0,41.2,94.0,10.0,2000.0,299.0,684.0,43.71345029239766,52.53863134657836,26.406926406926406,65.72769953051643,799.0,369.0,120.0
SBU,162.0,389.0,77.0,305.0,113.0,171.0,107.0,258.0,142.0,92.0,59.0,28.0,198.0,179.0,-47.0,38.0,10.0,2000.0,239.0,694.0,34.43804034582133,41.645244215938305,25.24590163934426,66.08187134502924,668.0,365.0,87.0
AU,194.0,448.0,78.0,252.0,172.0,249.0,117.0,301.0,178.0,159.0,79.0,35.0,240.0,199.0,25.0,92.0,10.0,2000.0,272.0,700.0,38.857142857142854,43.30357142857143,30.952380952380953,69.07630522088354,794.0,418.0,114.0
EAC,187.0,447.0,69.0,261.0,167.0,263.0,142.0,298.0,168.0,143.0,79.0,33.0,218.0,219.0,4.0,68.0,10.0,2000.0,256.0,708.0,36.15819209039548,41.834451901566,26.436781609195403,63.49809885931559,748.0,440.0,112.0
CSJL,222.0,516.0,76.0,313.0,146.0,221.0,155.0,278.0,180.0,112.0,93.0,32.0,206.0,216.0,17.0,61.0,11.0,2200.0,298.0,829.0,35.94692400482509,43.02325581395349,24.28115015974441,66.0633484162896,818.0,433.0,125.0
UPHSD,181.0,426.0,86.0,336.0,129.0,208.0,142.0,291.0,160.0,146.0,93.0,26.0,200.0,199.0,11.0,79.0,11.0,2200.0,267.0,762.0,35.039370078740156,42.48826291079812,25.595238095238095,62.01923076923077,749.0,433.0,119.0
MU,182.0,435.0,63.0,220.0,185.0,277.0,100.0,258.0,148.0,123.0,70.0,25.0,204.0,232.0,-25.0,35.0,10.0,2000.0,245.0,655.0,37.404580152671755,41.839080459770116,28.636363636363637,66.7870036101083,738.0,358.0,95.0
SSCR,230.0,425.0,71.0,231.0,201.0,311.0,107.0,318.0,216.0,173.0,63.0,36.0,203.0,253.0,76.6,106.0,10.0,2000.0,301.0,656.0,45.88414634146341,54.11764705882353,30.735930735930737,64.63022508038586,874.0,425.0,99.0
LPU,228.0,419.0,79.0,262.0,141.0,221.0,122.0,299.0,182.0,146.0,65.0,35.0,212.0,198.0,8.0,68.0,10.0,2000.0,307.0,681.0,45.08076358296623,54.41527446300716,30.15267175572519,63.800904977375566,834.0,421.0,100.0
CSB,203.0,444.0,60.0,278.0,120.0,202.0,121.0,203.0,121.0,120.0,97.0,29.0,198.0,187.0,-111.0,25.0,10.0,2000.0,263.0,722.0,36.42659279778393,45.72072072072072,21.58273381294964,59.40594059405941,706.0,324.0,126.0
League,202.7,440.2,72.0,268.9,151.4,233.6,123.4,275.2,162.7,135.6,77.9,31.8,211.4,208.3,-0.020000000000000285,66.6,10.2,2040.0,274.7,709.0999999999999,38.73924693273164,46.04725124943208,26.775753068055042,64.81164383561644,772.8,398.6,109.7
