,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
MU,255.0,581.0,84.0,300.0,256.0,388.0,120.0,349.0,206.0,181.0,103.0,38.0,279.0,326.0,-40.0,35.0,14.0,2800.0,339.0,881.0,38.47900113507378,43.88984509466437,28.0,65.97938144329896,1018.0,469.0,141.0
LPU,315.0,599.0,107.0,368.0,194.0,319.0,176.0,413.0,269.0,202.0,93.0,48.0,302.0,278.0,18.0,102.0,14.0,2800.0,422.0,967.0,43.640124095139605,52.587646076794655,29.07608695652174,60.81504702194357,1145.0,589.0,141.0
CSJL,301.0,673.0,100.0,390.0,190.0,290.0,194.0,352.0,243.0,154.0,124.0,36.0,291.0,283.0,26.0,87.0,14.0,2800.0,401.0,1063.0,37.723424270931325,44.725111441307575,25.641025641025642,65.51724137931035,1092.0,546.0,160.0
UPHSD,218.0,526.0,120.0,442.0,159.0,261.0,177.0,358.0,210.0,182.0,125.0,35.0,266.0,251.0,16.0,103.0,14.0,2800.0,338.0,968.0,34.917355371900825,41.444866920152094,27.149321266968325,60.91954022988506,955.0,535.0,160.0
JRU,310.0,596.0,81.0,291.0,189.0,290.0,141.0,328.0,178.0,181.0,106.0,45.0,305.0,268.0,54.2,120.0,13.0,2600.0,391.0,887.0,44.081172491544535,52.013422818791945,27.835051546391753,65.17241379310344,1052.0,469.0,151.0
CSB,264.0,596.0,76.0,347.0,157.0,268.0,158.0,280.0,166.0,149.0,119.0,41.0,264.0,254.0,-153.0,25.0,13.0,2600.0,340.0,943.0,36.05514316012725,44.29530201342282,21.902017291066283,58.582089552238806,913.0,438.0,160.0
SSCR,325.0,615.0,105.0,334.0,271.0,425.0,154.0,441.0,303.0,235.0,88.0,49.0,278.0,350.0,71.6,133.0,14.0,2800.0,430.0,949.0,45.310853530031615,52.84552845528455,31.437125748502993,63.76470588235294,1236.0,595.0,137.0
EAC,235.0,566.0,101.0,357.0,220.0,347.0,186.0,394.0,222.0,185.0,96.0,43.0,291.0,290.0,4.0,95.0,13.0,2600.0,336.0,923.0,36.403033586132175,41.51943462897526,28.291316526610643,63.40057636887608,993.0,580.0,139.0
AU,295.0,635.0,103.0,338.0,228.0,329.0,160.0,425.0,255.0,227.0,103.0,48.0,327.0,280.0,49.0,122.0,14.0,2800.0,398.0,973.0,40.90441932168551,46.45669291338583,30.473372781065088,69.30091185410335,1127.0,585.0,151.0
SBU,202.0,495.0,99.0,399.0,142.0,213.0,143.0,327.0,181.0,127.0,80.0,34.0,247.0,231.0,-46.0,62.0,13.0,2600.0,301.0,894.0,33.66890380313199,40.80808080808081,24.81203007518797,66.66666666666667,843.0,470.0,114.0
League,272.0,588.2,97.6,356.6,200.6,313.0,160.9,366.7,223.3,182.3,103.7,41.7,285.0,281.1,-0.020000000000000285,88.4,13.6,2720.0,369.6,944.8000000000001,39.11939034716342,46.24277456647398,27.369601794727984,64.08945686900958,1037.3999999999999,527.6,145.4
