TEAM,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
CSB,19.72222222222222,44.666666666666664,6.333333333333333,25.944444444444443,11.88888888888889,19.555555555555557,10.88888888888889,22.0,13.333333333333334,10.444444444444445,8.5,2.8333333333333335,19.77777777777778,19.0,-9.333333333333334,45.0,18,200.0,26.055555555555557,70.61111111111111,36.9000786782,44.1542288557,24.4111349036,60.7954545455,70.33333333333333,32.888888888888886,11.333333333333334
MU,18.77777777777778,42.388888888888886,5.611111111111111,21.0,17.61111111111111,27.22222222222222,9.222222222222221,25.11111111111111,14.833333333333334,13.5,7.555555555555555,3.0555555555555554,20.055555555555557,22.833333333333332,-4.333333333333333,35.0,18,200.0,24.38888888888889,63.388888888888886,38.4750219106,44.2988204456,26.7195767196,64.693877551,72.0,34.333333333333336,10.61111111111111
SBU,16.166666666666668,37.111111111111114,7.666666666666667,29.88888888888889,11.11111111111111,16.77777777777778,9.666666666666666,24.77777777777778,14.166666666666666,9.833333333333334,6.277777777777778,2.4444444444444446,19.333333333333332,17.833333333333332,-3.7777777777777777,99.0,18,200.0,23.833333333333332,67.0,35.5721393035,43.5628742515,25.6505576208,66.2251655629,66.44444444444444,34.44444444444444,8.722222222222221
LPU,22.166666666666668,42.77777777777778,7.611111111111111,27.055555555555557,13.722222222222221,22.166666666666668,12.555555555555555,28.61111111111111,19.61111111111111,13.833333333333334,6.5,3.1666666666666665,22.444444444444443,19.555555555555557,-0.1111111111111111,102.0,18,200.0,29.77777777777778,69.83333333333333,42.6412092283,51.8181818182,28.1314168378,61.9047619048,80.88888888888889,41.166666666666664,9.666666666666666
League,20.022222222222222,42.75555555555556,6.972222222222222,25.85,14.716666666666665,22.86111111111111,11.5,26.799999999999997,16.744444444444444,13.344444444444443,7.583333333333333,3.0277777777777777,20.822222222222223,20.561111111111114,-0.0011111111111111111,116.2,18,200.0,26.994444444444444,68.60555555555555,39.3473155721,46.8295218295,26.9718461208,64.3742405832,75.67777777777778,38.3,10.61111111111111
EAC,18.38888888888889,43.166666666666664,7.222222222222222,28.333333333333332,15.944444444444445,24.72222222222222,14.0,30.5,16.944444444444443,13.277777777777779,7.111111111111111,3.4444444444444446,21.27777777777778,21.38888888888889,0.8888888888888888,125.0,18,200.0,25.61111111111111,71.5,35.8197358197,42.5997425997,25.4901960784,64.4943820225,74.38888888888889,44.5,10.555555555555555
CSJL,21.333333333333332,47.94444444444444,6.666666666666667,26.72222222222222,14.055555555555555,21.38888888888889,14.222222222222221,25.555555555555557,18.38888888888889,11.777777777777779,8.555555555555555,2.611111111111111,19.72222222222222,20.38888888888889,2.1666666666666665,125.0,18,200.0,28.0,74.66666666666667,37.5,44.4959443801,24.948024948,65.7142857143,76.72222222222223,39.77777777777778,11.166666666666666
UPHSD,15.88888888888889,36.94444444444444,8.833333333333334,31.11111111111111,11.277777777777779,18.27777777777778,11.944444444444445,24.88888888888889,16.055555555555557,13.5,9.444444444444445,2.1666666666666665,19.88888888888889,17.38888888888889,2.3333333333333335,144.0,18,200.0,24.72222222222222,68.05555555555556,36.3265306122,43.007518797,28.3928571429,61.7021276596,69.55555555555556,36.833333333333336,11.61111111111111
AU,21.22222222222222,45.72222222222222,6.722222222222222,23.61111111111111,15.88888888888889,22.77777777777778,11.61111111111111,30.88888888888889,18.444444444444443,16.38888888888889,7.055555555555555,3.2777777777777777,24.055555555555557,20.055555555555557,3.2777777777777777,147.0,18,200.0,27.944444444444443,69.33333333333333,40.3044871795,46.4155528554,28.4705882353,69.756097561,78.5,42.5,10.333333333333334
SSCR,22.666666666666668,42.44444444444444,7.388888888888889,23.5,19.5,30.61111111111111,10.444444444444445,30.88888888888889,21.5,17.055555555555557,6.388888888888889,3.4444444444444446,19.166666666666668,25.055555555555557,4.199999999999999,159.0,18,200.0,30.055555555555557,65.94444444444444,45.5770850885,53.4031413613,31.4420803783,63.7023593466,87.0,41.333333333333336,9.833333333333334
JRU,23.88888888888889,44.388888888888886,5.666666666666667,21.333333333333332,16.166666666666668,25.11111111111111,10.444444444444445,24.77777777777778,14.166666666666666,13.833333333333334,8.444444444444445,3.8333333333333335,22.5,22.11111111111111,4.677777777777778,181.0,18,200.0,29.555555555555557,65.72222222222223,44.9704142012,53.8172715895,26.5625,64.3805309735,80.94444444444444,35.22222222222222,12.277777777777779
