TEAM,OFF,DEF,NET,PACE,AST,TO,EFG%,OREB%,DREB%,FTR,FFI,Py-W,Py-L,HHI
AU,71.32255595470818,74.59562949371825,-3.2730735390100705,82.1093680899,13.654678406208028,11.11774362035517,43.7070938215103,28.514851485148515,68.52678571428571,0.3489702517162471,31.19979750646632,4.186107823626131,7.813892176373869,0.1088022470041653
CSB,79.92997703595752,67.9845742492397,11.945402786717821,77.9588613818,16.050770732861917,14.201603597739577,50.90470446320868,40.14598540145985,72.06165703275529,0.31242460796139926,36.62784888443133,10.857475525990232,1.1425244740097682,0.0953401830365721
CSJL,71.96212173630123,74.00882599501287,-2.0467042587116424,76.3422459962,15.253252413080673,14.68831713852213,46.083550913838124,26.097560975609756,66.86746987951807,0.3028720626631854,31.86809278523552,4.844323137294722,7.155676862705278,0.1118514290595503
EAC,71.82551246656975,71.82551246656975,0.0,80.4031854654,15.765765765765765,11.479221156640511,42.89017341040463,28.712871287128714,65.17311608961303,0.3583815028901734,31.144171454100324,6.0,6.0,0.10991641835797678
JRU,73.11553451858961,77.78591007153918,-4.670375552949565,77.6168845289,15.452835259338888,12.541431514825764,41.72749391727494,33.557046979865774,67.39659367396594,0.39416058394160586,32.45017360071366,3.564814652988879,8.43518534701112,0.11865648469793708
LPU,76.9519419156589,77.81922814626573,-0.8672862306068225,79.2702542411,15.991471215351812,10.280231495583308,45.798816568047336,24.89451476793249,67.84140969162996,0.33136094674556216,30.838901655884694,5.533257890149876,6.466742109850124,0.11595925154528354
MU,75.05743029207022,72.09763273758008,2.9597975544901374,76.0187127186,14.741909753874204,12.747835004557887,45.34231200897867,35.483870967741936,75.05422993492408,0.32435465768799104,33.2859776135992,8.27277588384489,4.72722411615511,0.13125472206403913
SBU,72.198791986126,68.46297147840744,3.7358205077185573,71.0378388995,13.754173954523772,12.164096040705996,44.9569495694957,29.677419354838708,72.65774378585085,0.33210332103321033,31.940837524440674,8.798222778092763,4.201777221907237,0.12125832414930135
SSCR,73.75911934538128,79.94342178538258,-6.184302440001304,82.8711087422,12.726951711149693,9.490039137215668,41.49732620320856,29.33579335793358,68.14814814814815,0.29732620320855613,29.298491985302398,2.952231266694791,9.047768733305208,0.1337774599470561
UPHSD,66.82228901799087,68.08946264032951,-1.267173622338646,73.9835475955,16.017548289357403,13.019189496275722,40.66002490660025,30.4635761589404,69.67871485943775,0.2727272727272727,29.702431659406198,5.220500128453884,6.779499871546116,0.12681062714066754
League,73.33515707363827,73.33515707363827,0.0,77.7612007659,14.936931279549311,12.151823830254871,44.32073907378894,30.58623619371283,69.41376380628716,0.32760866990406257,31.7976288743828,6.1,6.1,0.009938643883510507
