,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
EAC,74.0,186.0,25.0,102.0,58.0,105.0,66.0,132.0,56.0,54.0,29.0,8.0,93.0,89.0,5.0,27.0,4.0,800.0,99.0,288.0,34.375,39.784946236559136,24.50980392156863,55.23809523809524,281.0,198.0,37.0
SSCR,86.0,163.0,30.0,103.0,90.0,135.0,47.0,116.0,77.0,67.0,21.0,14.0,90.0,117.0,17.0,27.0,4.0,800.0,116.0,266.0,43.609022556390975,52.760736196319016,29.12621359223301,66.66666666666667,352.0,163.0,35.0
MU,60.0,139.0,15.0,61.0,44.0,66.0,27.0,89.0,47.0,43.0,24.0,9.0,47.0,68.0,4.0,13.0,3.0,600.0,75.0,200.0,37.5,43.16546762589928,24.59016393442623,66.66666666666667,209.0,116.0,33.0
AU,59.0,136.0,26.0,81.0,46.0,66.0,36.0,95.0,54.0,45.0,19.0,19.0,66.0,56.0,16.0,38.0,3.0,600.0,85.0,217.0,39.1705069124424,43.38235294117647,32.098765432098766,69.6969696969697,242.0,131.0,38.0
CSJL,65.0,146.0,18.0,78.0,48.0,67.0,41.0,53.0,44.0,31.0,28.0,11.0,66.0,66.0,-8.0,13.0,3.0,600.0,83.0,224.0,37.05357142857143,44.52054794520548,23.076923076923077,71.64179104477611,232.0,94.0,39.0
JRU,92.0,177.0,25.0,86.0,64.0,93.0,44.0,94.0,59.0,52.0,37.0,16.0,102.0,82.0,13.0,41.0,4.0,800.0,117.0,263.0,44.48669201520912,51.9774011299435,29.069767441860463,68.81720430107526,323.0,138.0,53.0
UPHSD,77.0,165.0,28.0,95.0,44.0,71.0,46.0,110.0,53.0,54.0,35.0,9.0,77.0,72.0,15.0,26.0,4.0,800.0,105.0,260.0,40.38461538461539,46.666666666666664,29.473684210526315,61.971830985915496,282.0,156.0,44.0
LPU,68.0,126.0,25.0,82.0,55.0,80.0,45.0,92.0,59.0,42.0,20.0,11.0,72.0,74.0,13.0,28.0,3.0,600.0,93.0,208.0,44.71153846153846,53.96825396825397,30.48780487804878,68.75,266.0,137.0,31.0
CSB,72.0,180.0,17.0,105.0,41.0,81.0,52.0,91.0,43.0,51.0,30.0,15.0,78.0,80.0,-67.0,0.0,4.0,800.0,89.0,285.0,31.228070175438596,40.0,16.19047619047619,50.617283950617285,236.0,143.0,45.0
SBU,58.0,143.0,37.0,153.0,49.0,79.0,55.0,106.0,55.0,38.0,29.0,8.0,101.0,77.0,-8.0,25.0,4.0,800.0,95.0,296.0,32.0945945945946,40.55944055944056,24.18300653594771,62.0253164556962,276.0,161.0,37.0
League,71.1,156.1,24.6,94.6,53.9,84.3,45.9,97.8,54.7,47.7,27.2,12.0,79.2,78.1,0.0,23.8,3.6,720.0,95.69999999999999,250.7,38.173115277223765,45.54772581678411,26.004228329809727,63.93831553973903,269.9,143.7,39.2
