TEAM,MINS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP,W,L,FG%,2P%,3P%,FT%
AU,225.0,32.0,86.0,28.0,67.0,4.0,19.0,12.0,29.0,80.0,14.0,43.0,57.0,14.0,10.0,7.0,0.0,7.0,28.0,26.0,-7.0,0.0,1.0,0.0,1.0,37.2093023255814,41.791044776119406,21.05263157894737,41.37931034482759
CSB,425.0,58.0,139.0,48.0,90.0,10.0,49.0,22.0,38.0,148.0,28.0,64.0,92.0,31.0,28.0,14.0,9.0,23.0,36.0,43.0,18.0,25.0,2.0,2.0,0.0,41.726618705035975,53.333333333333336,20.408163265306122,57.89473684210526
CSJL,200.0,27.0,57.0,22.0,34.0,5.0,23.0,25.0,33.0,84.0,12.0,25.0,37.0,16.0,22.0,5.0,4.0,9.0,25.0,28.0,-7.0,0.0,1.0,0.0,1.0,47.36842105263158,64.70588235294117,21.73913043478261,75.75757575757575
EAC,425.0,49.0,148.0,33.0,97.0,16.0,51.0,39.0,62.0,153.0,16.0,68.0,84.0,40.0,22.0,11.0,13.0,24.0,45.0,54.0,4.0,14.0,2.0,1.0,1.0,33.108108108108105,34.02061855670103,31.372549019607842,62.903225806451616
JRU,200.0,20.0,55.0,14.0,38.0,6.0,17.0,20.0,34.0,66.0,11.0,22.0,33.0,15.0,16.0,7.0,3.0,10.0,23.0,26.0,-16.0,0.0,1.0,0.0,1.0,36.36363636363637,36.8421052631579,35.294117647058826,58.8235294117647
LPU,400.0,50.0,141.0,34.0,78.0,16.0,63.0,40.0,57.0,156.0,22.0,53.0,75.0,35.0,24.0,9.0,1.0,10.0,53.0,50.0,-18.0,0.0,2.0,0.0,2.0,35.46099290780142,43.58974358974359,25.396825396825395,70.17543859649123
MU,400.0,47.0,140.0,32.0,77.0,15.0,63.0,25.0,41.0,134.0,28.0,57.0,85.0,32.0,28.0,19.0,4.0,23.0,49.0,33.0,-10.0,12.0,2.0,1.0,1.0,33.57142857142857,41.55844155844156,23.80952380952381,60.97560975609756
SBU,425.0,52.0,136.0,35.0,81.0,17.0,55.0,23.0,45.0,144.0,32.0,63.0,95.0,27.0,24.0,9.0,9.0,18.0,44.0,46.0,11.0,15.0,2.0,1.0,1.0,38.23529411764706,43.20987654320987,30.90909090909091,51.111111111111114
SSCR,400.0,67.0,164.0,57.0,102.0,10.0,62.0,42.0,57.0,186.0,34.0,46.0,80.0,36.0,16.0,17.0,1.0,18.0,56.0,53.0,9.0,26.0,2.0,2.0,0.0,40.853658536585364,55.88235294117647,16.129032258064516,73.6842105263158
UPHSD,200.0,29.0,67.0,24.0,44.0,5.0,23.0,19.0,29.0,82.0,17.0,25.0,42.0,16.0,12.0,8.0,5.0,13.0,26.0,22.0,16.0,15.0,1.0,1.0,0.0,43.28358208955224,54.54545454545455,21.73913043478261,65.51724137931035
League,330.0,43.1,113.3,32.7,70.8,10.4,42.5,26.7,42.5,123.3,21.4,46.6,68.0,26.2,20.2,10.6,4.9,15.5,38.5,38.1,0.0,10.7,1.6,0.8,0.8,38.04060017652251,46.18644067796611,24.470588235294116,62.8235294117647
