TEAM,MINS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP,W,L,FG%,2P%,3P%,FT%
AU,425.0,61.0,153.0,55.0,119.0,6.0,34.0,19.0,43.0,147.0,24.0,69.0,93.0,26.0,25.0,21.0,1.0,22.0,41.0,44.0,-9.0,0.0,2.0,0.0,2.0,39.869281045751634,46.21848739495798,17.647058823529413,44.18604651162791
CSB,425.0,58.0,139.0,48.0,90.0,10.0,49.0,22.0,38.0,148.0,28.0,64.0,92.0,31.0,28.0,14.0,9.0,23.0,36.0,43.0,18.0,25.0,2.0,2.0,0.0,41.726618705035975,53.333333333333336,20.408163265306122,57.89473684210526
CSJL,400.0,53.0,112.0,43.0,71.0,10.0,41.0,38.0,51.0,154.0,17.0,51.0,68.0,30.0,33.0,12.0,10.0,22.0,47.0,48.0,1.0,13.0,2.0,1.0,1.0,47.32142857142857,60.563380281690144,24.390243902439025,74.50980392156863
EAC,425.0,49.0,148.0,33.0,97.0,16.0,51.0,39.0,62.0,153.0,16.0,68.0,84.0,40.0,22.0,11.0,13.0,24.0,45.0,54.0,4.0,14.0,2.0,1.0,1.0,33.108108108108105,34.02061855670103,31.372549019607842,62.903225806451616
JRU,400.0,39.0,124.0,27.0,81.0,12.0,43.0,38.0,56.0,128.0,26.0,38.0,64.0,28.0,25.0,12.0,8.0,20.0,43.0,48.0,-24.0,0.0,2.0,0.0,2.0,31.451612903225808,33.333333333333336,27.906976744186046,67.85714285714286
LPU,400.0,50.0,141.0,34.0,78.0,16.0,63.0,40.0,57.0,156.0,22.0,53.0,75.0,35.0,24.0,9.0,1.0,10.0,53.0,50.0,-18.0,0.0,2.0,0.0,2.0,35.46099290780142,43.58974358974359,25.396825396825395,70.17543859649123
MU,400.0,47.0,140.0,32.0,77.0,15.0,63.0,25.0,41.0,134.0,28.0,57.0,85.0,32.0,28.0,19.0,4.0,23.0,49.0,33.0,-10.0,12.0,2.0,1.0,1.0,33.57142857142857,41.55844155844156,23.80952380952381,60.97560975609756
SBU,625.0,78.0,195.0,51.0,114.0,27.0,81.0,46.0,83.0,229.0,42.0,97.0,139.0,41.0,41.0,14.0,11.0,25.0,62.0,75.0,21.0,27.0,3.0,2.0,1.0,40.0,44.73684210526316,33.333333333333336,55.42168674698795
SSCR,600.0,93.0,251.0,72.0,136.0,21.0,115.0,54.0,74.0,261.0,51.0,69.0,120.0,48.0,26.0,27.0,4.0,31.0,85.0,71.0,-1.0,26.0,3.0,2.0,1.0,37.05179282868526,52.94117647058823,18.26086956521739,72.97297297297297
UPHSD,400.0,53.0,133.0,38.0,84.0,15.0,49.0,30.0,46.0,151.0,33.0,50.0,83.0,34.0,32.0,15.0,7.0,22.0,44.0,35.0,18.0,25.0,2.0,2.0,0.0,39.849624060150376,45.23809523809524,30.612244897959183,65.21739130434783
League,450.0,58.1,153.6,43.3,94.7,14.8,58.9,35.1,55.1,166.1,28.7,61.6,90.3,34.5,28.4,15.4,6.8,22.2,50.5,50.1,0.0,14.2,2.2,1.1,1.1,37.825520833333336,45.723336853220694,25.127334465195247,63.70235934664247
