TEAM,OFF,DEF,NET,PACE,hAST%,hTO%,TOR,AR,STL%,BLK%,EFG%,TS%,PPWS,REB%,OREB%,DREB%,FTR,FFI,Py-W,Py-L,PPR,HHI
CSB,77.8356107995916,66.92343111340219,10.912179686189418,77.5673234652,15.92153865749586,13.88358170933639,20.074727186407536,23.0214761312013,9.669019975104547,8.47723704866562,49.018595041322314,51.12502268190891,1.022500453638178,57.40236148955495,38.877755511022045,72.75747508305648,0.31508264462809915,37.12791058475671,12.853390639513412,1.146609360486588,-1.812398796554633,0.09604300035665668
SBU,73.29783834617115,68.84868972227805,4.449148623893095,71.040878894,13.864843451979226,12.104228410458054,16.590045716211577,19.00314327493326,7.038201212938245,6.839186691312385,45.46485260770975,48.15886479844623,0.9631772959689247,52.83553875236295,30.8,72.58064516129032,0.3276643990929705,33.40841845853135,10.240099334366,3.7599006656339995,-1.5034513737713058,0.11649858592016801
MU,74.47560388237177,71.6598910701838,2.815712812187968,76.1035405877,14.946299137611767,12.565472726310778,17.832847810523802,21.211703185149364,10.042709030137088,6.024096385542169,45.10926118626431,48.26290051821035,0.9652580103642071,54.28849902534113,34.76635514018692,75.56008146639512,0.3194588969823101,34.247070909908714,9.092376953153373,4.907623046846627,-1.4279578996294466,0.1314085498550963
EAC,70.84337119831741,70.44123285660511,0.4021383417123019,79.9298495289,15.742128935532234,11.244377811094454,16.085533668492126,22.519747135888977,9.56195612515921,8.695652173913043,42.23205506391347,45.21731690622861,0.9043463381245722,47.32824427480916,29.118136439267886,66.26297577854672,0.3392330383480826,31.82632830576324,7.318566237223217,6.681433762776783,-0.4147933293211389,0.10877342472447948
League,73.02896329066498,73.02896329066498,0.0,78.0509089375,15.025368827639554,12.2327621742383,17.10323911922406,21.00772272470475,9.703397753028316,7.070381703978096,44.234811330197175,47.870237899516226,0.9574047579903244,50.0,30.462863293864366,69.53713670613561,0.3284956460814733,32.989741661879854,7.2,7.2,-1.186825667234526,0.009902914250730878
LPU,76.46373827960153,77.09049023271301,-0.62675195311148,79.7763768454,15.929353619536776,10.902219207287528,15.04204687467571,21.97810182244284,9.610196614376148,3.930817610062893,45.89302769818529,50.49501672130062,1.0099003344260125,46.51567944250871,25.17361111111111,68.00699300699301,0.3495702005730659,32.395998028761255,7.010896495904302,7.989103504095698,-0.14969613872386825,0.11704111797903788
UPHSD,66.77435306969956,68.18366102393442,-1.4093079542348619,74.5046529288,16.339050957806435,13.45937147865281,19.238172073682286,23.35424609874919,9.842785712116518,9.84182776801406,40.91365461847389,44.36418762261459,0.8872837524522917,51.139240506329116,30.96085409252669,69.34189406099519,0.286144578313253,31.65934435901426,6.258379656527866,8.741620343472134,-1.3855325464925499,0.1242423171132042
CSJL,71.7488398696629,74.04684541708983,-2.298005547426925,78.3287926357,14.77160821149913,14.897861273135874,20.086270710842758,19.916048077700022,7.489795858280351,9.027777777777779,45.5761316872428,50.44339927476394,1.008867985495279,48.877374784110536,26.162790697674417,67.13395638629284,0.3323045267489712,33.46914639337726,5.647537534565862,9.352462465434138,-2.550917997795516,0.11838280923493877
AU,70.77864438752844,73.99585549605246,-3.217211108524012,81.5924075683,13.883912576137584,11.196703690433536,15.320052897733428,18.99686559318945,12.518671796433601,5.984251968503937,43.33662388943731,46.03060736489718,0.9206121472979435,47.20216606498195,28.691275167785236,68.75,0.3543928923988154,32.21881119974756,4.610585132411375,9.389414867588625,-1.0181306094141611,0.10880280599337051
JRU,73.42877609991685,78.03526299008018,-4.606486890163339,77.9180707526,15.54264954203551,12.21665046308141,17.509233751665565,22.27614555840174,9.717166375269896,8.47723704866562,42.11618257261411,47.28006799830004,0.9456013599660008,49.10179640718563,32.76190476190476,67.08595387840671,0.3900414937759336,33.62678482598199,3.838516263502477,10.161483736497523,-1.037480017391936,0.11598738935880713
SSCR,74.56966066618924,79.3459399722702,-4.776279306080966,83.7471961681,13.237077813024817,10.088169434596006,13.77160533253348,18.070256708006358,11.144651714188944,3.5114503816793894,43.12553373185312,47.49482842540764,0.9498965685081527,46.238377007607774,28.91566265060241,68.40077071290943,0.27924850555081127,30.664974939257274,4.0538025850502075,10.946197414949793,-0.6566813327001209,0.12741850806505892
