TEAM,MINS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP,W,L,FG%,2P%,3P%,FT%,W%
CSB,212.5,29.0,69.5,24.0,45.0,5.0,24.5,11.0,19.0,74.0,14.0,32.0,46.0,15.5,14.0,7.0,4.5,11.5,18.0,21.5,9.0,25.0,2.0,2.0,0.0,41.726618705,53.3333333333,20.4081632653,57.8947368421,1.0
EAC,225.0,30.0,83.0,20.0,53.0,10.0,30.0,17.0,28.0,87.0,8.0,40.0,48.0,22.0,10.0,4.0,11.0,15.0,27.0,26.0,7.0,14.0,1.0,1.0,0.0,36.1445783133,37.7358490566,33.3333333333,60.7142857143,1.0
SSCR,200.0,33.5,82.0,28.5,51.0,5.0,31.0,21.0,28.5,93.0,17.0,23.0,40.0,18.0,8.0,8.5,0.5,9.0,28.0,26.5,4.5,26.0,2.0,2.0,0.0,40.8536585366,55.8823529412,16.1290322581,73.6842105263,1.0
UPHSD,200.0,29.0,67.0,24.0,44.0,5.0,23.0,19.0,29.0,82.0,17.0,25.0,42.0,16.0,12.0,8.0,5.0,13.0,26.0,22.0,16.0,15.0,1.0,1.0,0.0,43.2835820896,54.5454545455,21.7391304348,65.5172413793,1.0
League,207.14285714285717,27.857142857142858,71.35714285714286,21.500000000000004,44.78571428571429,6.357142857142858,26.571428571428577,16.357142857142858,26.0,78.42857142857143,13.5,28.857142857142858,42.35714285714286,16.142857142857146,12.714285714285715,6.571428571428571,3.2142857142857144,9.785714285714286,24.214285714285715,23.92857142857143,0.0,9.5,1.4,0.7000000000000001,0.7000000000000001,39.039039039,48.0063795853,23.9247311828,62.9120879121,0.5000000000000001
SBU,212.5,26.0,68.0,17.5,40.5,8.5,27.5,11.5,22.5,72.0,16.0,31.5,47.5,13.5,12.0,4.5,4.5,9.0,22.0,23.0,5.5,15.0,2.0,1.0,1.0,38.2352941176,43.2098765432,30.9090909091,51.1111111111,0.5
AU,225.0,32.0,86.0,28.0,67.0,4.0,19.0,12.0,29.0,80.0,14.0,43.0,57.0,14.0,10.0,7.0,0.0,7.0,28.0,26.0,-7.0,0.0,1.0,0.0,1.0,37.2093023256,41.7910447761,21.0526315789,41.3793103448,0.0
CSJL,200.0,27.0,57.0,22.0,34.0,5.0,23.0,25.0,33.0,84.0,12.0,25.0,37.0,16.0,22.0,5.0,4.0,9.0,25.0,28.0,-7.0,0.0,1.0,0.0,1.0,47.3684210526,64.7058823529,21.7391304348,75.7575757576,0.0
JRU,200.0,20.0,55.0,14.0,38.0,6.0,17.0,20.0,34.0,66.0,11.0,22.0,33.0,15.0,16.0,7.0,3.0,10.0,23.0,26.0,-16.0,0.0,1.0,0.0,1.0,36.3636363636,36.8421052632,35.2941176471,58.8235294118,0.0
LPU,200.0,25.0,70.5,17.0,39.0,8.0,31.5,20.0,28.5,78.0,11.0,26.5,37.5,17.5,12.0,4.5,0.5,5.0,26.5,25.0,-9.0,0.0,2.0,0.0,2.0,35.4609929078,43.5897435897,25.3968253968,70.1754385965,0.0
MU,200.0,25.0,71.0,19.0,40.0,6.0,31.0,9.0,14.0,65.0,11.0,23.0,34.0,14.0,16.0,12.0,2.0,14.0,21.0,15.0,-13.0,0.0,1.0,0.0,1.0,35.2112676056,47.5,19.3548387097,64.2857142857,0.0
