TEAM,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
UPHSD,14.0,38.0,6.0,17.0,20.0,34.0,11.0,22.0,15.0,16.0,7.0,3.0,23.0,26.0,-16.0,0.0,1.0,200.0,20.0,55.0,36.3636363636,36.8421052632,35.2941176471,58.8235294118,66.0,33.0,10.0
CSB,18.5,42.5,6.0,29.0,10.0,19.0,14.0,24.5,11.5,12.5,8.0,3.0,21.5,18.0,-9.0,0.0,2.0,200.0,24.5,71.5,34.2657342657,43.5294117647,20.6896551724,52.6315789474,65.0,38.5,11.0
EAC,28.0,67.0,4.0,19.0,12.0,29.0,14.0,43.0,14.0,10.0,7.0,0.0,28.0,26.0,-7.0,0.0,1.0,200.0,32.0,86.0,37.2093023256,41.7910447761,21.0526315789,41.3793103448,80.0,57.0,7.0
SBU,17.0,38.5,6.5,31.5,13.0,23.5,13.5,27.5,12.5,9.0,5.0,2.0,23.0,22.0,-5.5,12.0,2.0,200.0,23.5,70.0,33.5714285714,44.1558441558,20.6349206349,55.3191489362,66.5,41.0,7.0
SSCR,21.0,37.0,7.5,27.5,24.0,32.0,11.5,26.0,21.5,18.0,4.0,2.5,26.5,28.0,-4.5,0.0,2.0,200.0,28.5,64.5,44.1860465116,56.7567567568,27.2727272727,75.0,88.5,37.5,6.5
League,21.500000000000004,44.78571428571429,6.357142857142858,26.571428571428577,16.357142857142858,26.0,13.5,28.857142857142858,16.142857142857146,12.714285714285715,6.571428571428571,3.2142857142857144,24.214285714285715,23.92857142857143,0.0,9.5,1.4,200.0,27.857142857142858,71.35714285714286,39.039039039,48.0063795853,23.9247311828,62.9120879121,78.42857142857143,42.35714285714286,9.785714285714286
AU,20.0,53.0,10.0,30.0,17.0,28.0,8.0,40.0,22.0,10.0,4.0,11.0,27.0,26.0,7.0,14.0,1.0,200.0,30.0,83.0,36.1445783133,37.7358490566,33.3333333333,60.7142857143,87.0,48.0,15.0
CSJL,30.0,55.0,4.0,31.0,19.0,24.0,17.0,17.0,16.0,8.0,11.0,1.0,28.0,25.0,7.0,13.0,1.0,200.0,34.0,86.0,39.5348837209,54.5454545455,12.9032258065,79.1666666667,91.0,34.0,12.0
LPU,22.0,41.5,8.5,29.5,17.5,27.0,16.0,33.0,19.0,11.5,5.5,2.5,25.0,26.5,9.0,28.0,2.0,200.0,30.5,71.0,42.9577464789,53.0120481928,28.813559322,64.8148148148,87.0,49.0,8.0
MU,28.0,51.0,3.0,17.0,13.0,17.0,12.0,35.0,14.0,20.0,10.0,5.0,15.0,21.0,13.0,13.0,1.0,200.0,31.0,68.0,45.5882352941,54.9019607843,17.6470588235,76.4705882353,78.0,47.0,15.0
JRU,24.0,44.0,5.0,23.0,19.0,29.0,17.0,25.0,16.0,12.0,8.0,5.0,26.0,22.0,16.0,15.0,1.0,200.0,29.0,67.0,43.2835820896,54.5454545455,21.7391304348,65.5172413793,82.0,42.0,13.0
