NO.,PLAYER,POS,MINS,PTS,FG,FG %,2P,2P %,3P,3P %,FT,FT %,OFF,DEF,REB,AST,TO,STL,BLK,PF,Fls on:,+/-
,starters ,,,,,,,,,,,,,,,,,,,,,
4,L. Capulong,,33:52,30,12-20,60,10-16,62.5,2-4,50,4-10,40,8,8,16,1,0,1,1,4,9,14
14,M. Vinoya,,32:20,14,5-13,38.5,5-8,62.5,0-5,0,4-6,66.7,0,7,7,5,2,2,0,4,4,21
5,T. Valencia,,25:31,9,4-10,40,4-8,50,0-2,0,1-2,50,1,1,2,3,2,0,0,4,2,0
10,W. Miller,,13:22,9,4-5,80,3-4,75,1-1,100,0-0,0,2,3,5,1,0,0,0,0,1,2
1,J. Ongotan,,18:33,2,1-6,16.7,1-6,16.7,0-0,0,0-0,0,0,4,4,3,3,2,1,1,1,-1
,bench ,,,,,,,,,,,,,,,,,,,,,
25,G. Borromeo,,21:39,7,3-5,60,3-4,75,0-1,0,1-2,50,1,1,2,7,0,3,0,5,2,8
12,R. Abiera,,10:51,4,2-7,28.6,2-3,66.7,0-4,0,0-0,0,0,2,2,4,1,0,0,1,0,9
3,E. Geronimo,,16:04,4,2-4,50,2-3,66.7,0-1,0,0-0,0,0,0,0,3,4,0,0,1,0,-12
9,J. Camay,,12:39,4,1-4,25,1-4,25,0-0,0,2-2,100,0,0,0,1,0,0,0,2,3,13
42,C. Hernal,,07:49,3,1-2,50,1-2,50,0-0,0,1-2,50,0,0,0,0,0,0,0,1,1,-15
27,K. Flores,,01:18,3,1-1,100,0-0,0,1-1,100,0-0,0,0,0,0,0,0,0,0,0,0,-4
41,J. Libang,,04:24,2,1-2,50,1-1,100,0-1,0,0-0,0,0,1,1,0,1,1,0,1,0,-4
6,B. Rosalin,,01:32,0,0-0,0,0-0,0,0-0,0,0-0,0,0,1,1,0,0,0,0,0,0,-6
,,,,,,,,,,,,,,,,,,,,,,
3,J. Barba,,24:56,18,6-12,50,5-9,55.6,1-3,33.3,5-7,71.4,0,2,2,3,3,4,0,2,7,-7
13,G. Montano,,17:50,10,3-5,60,3-4,75,0-1,0,4-4,100,1,1,2,2,3,0,0,1,2,-7
24,J. Daileg,,20:40,9,2-10,20,0-2,0,2-8,25,3-4,75,1,2,3,1,1,0,0,3,2,3
23,M. Versoza,,13:40,4,2-4,50,2-4,50,0-0,0,0-0,0,0,3,3,2,1,0,0,1,0,-13
14,J. Panelo,,05:37,4,2-2,100,2-2,100,0-0,0,0-0,0,0,3,3,0,1,0,0,1,0,5
10,L. Pallingayan,,01:43,0,0-0,0,0-0,0,0-0,0,0-0,0,1,0,1,1,1,0,0,1,0,-5
12,N. Moralejo,,03:56,0,0-1,0,0-0,0,0-1,0,0-0,0,0,0,0,0,0,1,0,0,0,-5
,starters ,,,,,,,,,,,,,,,,,,,,,
26,J. Bravo,,26:04,17,5-8,62.5,3-3,100,2-5,40,5-6,83.3,1,7,8,3,2,0,1,4,4,4
20,R. Villegas,,28:51,15,7-12,58.3,7-10,70,0-2,0,1-1,100,0,2,2,2,2,0,0,3,4,-2
17,S. Penafiel,,20:15,5,2-6,33.3,2-6,33.3,0-0,0,1-1,100,0,0,0,1,0,0,0,1,1,4
15,G. Aviles,,09:33,4,2-3,66.7,2-3,66.7,0-0,0,0-0,0,1,4,5,0,0,0,0,3,2,-4
18,V. Cunanan,,26:50,0,0-3,0,0-2,0,0-1,0,0-0,0,0,2,2,7,3,4,0,4,1,2
