TEAM,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
CSB,20.0,44.111111111111114,6.0,27.88888888888889,11.0,19.0,11.666666666666666,20.333333333333332,12.333333333333334,12.666666666666666,10.11111111111111,3.111111111111111,19.0,18.22222222222222,-11.666666666666666,25,9.0,200.0,26.0,72.0,36.1111111111,45.3400503778,21.5139442231,57.8947368421,69.0,32.0,13.222222222222221
SBU,15.88888888888889,38.55555555555556,8.11111111111111,31.0,10.88888888888889,16.333333333333332,10.444444444444445,26.555555555555557,14.777777777777779,9.444444444444445,5.777777777777778,2.888888888888889,20.333333333333332,17.444444444444443,-3.6666666666666665,38,9.0,200.0,24.0,69.55555555555556,34.5047923323,41.2103746398,26.164874552,66.6666666667,67.0,37.0,8.666666666666666
MU,17.77777777777778,41.888888888888886,6.666666666666667,22.555555555555557,18.555555555555557,27.88888888888889,9.444444444444445,26.444444444444443,15.0,12.88888888888889,7.333333333333333,2.6666666666666665,19.666666666666668,23.22222222222222,-2.3333333333333335,35,9.0,200.0,24.444444444444443,64.44444444444444,37.9310344828,42.4403183024,29.5566502463,66.5338645418,74.11111111111111,35.888888888888886,10.0
CSJL,20.333333333333332,47.333333333333336,6.333333333333333,28.444444444444443,13.222222222222221,20.333333333333332,13.666666666666666,24.666666666666668,15.11111111111111,9.88888888888889,8.444444444444445,3.0,18.666666666666668,20.0,-1.7777777777777777,37,9.0,200.0,26.666666666666668,75.77777777777777,35.1906158358,42.9577464789,22.265625,65.0273224044,72.88888888888889,38.333333333333336,11.444444444444445
League,20.011363636363633,43.215909090909086,6.920454545454545,26.46590909090909,14.670454545454543,22.624999999999996,11.977272727272727,27.284090909090907,15.659090909090908,13.409090909090908,7.7727272727272725,3.1477272727272725,20.68181818181818,20.375,0.0,57,8.8,199.99999999999997,26.93181818181818,69.68181818181819,38.6497064579,46.3055482514,26.1485616144,64.8417880462,75.45454545454545,39.26136363636363,10.920454545454543
AU,19.555555555555557,44.44444444444444,7.666666666666667,25.88888888888889,17.333333333333332,25.22222222222222,11.666666666666666,30.22222222222222,17.444444444444443,16.22222222222222,8.222222222222221,3.7777777777777777,24.22222222222222,20.444444444444443,1.2222222222222223,77,9.0,200.0,27.22222222222222,70.33333333333333,38.7045813586,44.0,29.6137339056,68.7224669604,79.44444444444444,41.888888888888886,12.0
UPHSD,16.88888888888889,38.888888888888886,7.666666666666667,31.444444444444443,11.0,18.11111111111111,12.88888888888889,26.88888888888889,14.0,12.666666666666666,8.666666666666666,2.5555555555555554,18.0,17.22222222222222,1.4444444444444444,64,9.0,200.0,24.555555555555557,70.33333333333333,34.9131121643,43.4285714286,24.3816254417,60.736196319,67.77777777777777,39.77777777777778,11.222222222222221
EAC,19.25,45.125,6.25,25.625,16.75,26.75,14.75,31.5,16.375,14.625,7.625,3.25,21.75,22.875,2.875,68,8.0,200.0,25.5,70.75,36.0424028269,42.6592797784,24.3902439024,62.6168224299,74.0,46.25,10.875
LPU,23.666666666666668,43.44444444444444,7.777777777777778,26.0,14.444444444444445,22.555555555555557,13.0,30.666666666666668,18.444444444444443,14.222222222222221,6.333333333333333,3.3333333333333335,21.555555555555557,20.0,3.4444444444444446,68,9.0,200.0,31.444444444444443,69.44444444444444,45.28,54.4757033248,29.9145299145,64.039408867,85.11111111111111,43.666666666666664,9.666666666666666
JRU,24.0,45.44444444444444,6.111111111111111,22.666666666666668,14.11111111111111,20.444444444444443,11.555555555555555,24.77777777777778,13.333333333333334,14.555555555555555,8.444444444444445,3.5555555555555554,23.444444444444443,19.333333333333332,4.111111111111111,81,9.0,200.0,30.11111111111111,68.11111111111111,44.2088091354,52.8117359413,26.9607843137,69.0217391304,80.44444444444444,36.333333333333336,12.0
SSCR,23.0,43.125,6.5,22.625,20.25,31.0,10.875,31.75,20.375,17.5,6.625,3.375,20.25,25.875,7.5,77,8.0,200.0,29.5,65.75,44.8669201521,53.3333333333,28.729281768,65.3225806452,85.75,42.625,10.0
