TEAM,MINS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP,W,L,FG%,2P%,3P%,FT%
AU,2450.0,356.0,874.0,304.0,646.0,52.0,228.0,173.0,305.0,937.0,144.0,307.0,451.0,183.0,149.0,116.0,34.0,150.0,252.0,278.0,-43.0,51.0,12.0,4.0,8.0,40.732265446224254,47.05882352941177,22.80701754385965,56.721311475409834
CSB,2250.0,347.0,766.0,271.0,490.0,76.0,276.0,147.0,249.0,917.0,159.0,343.0,502.0,200.0,180.0,80.0,45.0,125.0,208.0,217.0,134.0,125.0,11.0,9.0,2.0,45.300261096605745,55.30612244897959,27.536231884057973,59.036144578313255
CSJL,2475.0,311.0,766.0,227.0,448.0,84.0,318.0,173.0,232.0,879.0,107.0,333.0,440.0,189.0,182.0,73.0,55.0,128.0,243.0,227.0,-25.0,77.0,12.0,6.0,6.0,40.60052219321149,50.669642857142854,26.41509433962264,74.56896551724138
EAC,2225.0,286.0,789.0,198.0,485.0,88.0,304.0,163.0,281.0,823.0,134.0,288.0,422.0,194.0,150.0,89.0,41.0,130.0,245.0,240.0,-7.4,71.0,11.0,5.0,6.0,36.248415716096325,40.824742268041234,28.94736842105263,58.00711743772242
JRU,2200.0,289.0,756.0,231.0,531.0,58.0,225.0,207.0,302.0,843.0,144.0,257.0,401.0,190.0,161.0,87.0,45.0,132.0,225.0,254.0,-43.0,44.0,11.0,3.0,8.0,38.22751322751323,43.50282485875706,25.77777777777778,68.54304635761589
LPU,2425.0,340.0,845.0,246.0,495.0,94.0,350.0,202.0,280.0,976.0,118.0,308.0,426.0,210.0,135.0,94.0,19.0,113.0,241.0,252.0,-11.0,77.0,12.0,6.0,6.0,40.23668639053255,49.696969696969695,26.857142857142858,72.14285714285714
MU,2425.0,328.0,815.0,226.0,469.0,102.0,346.0,173.0,274.0,931.0,158.0,326.0,484.0,192.0,164.0,91.0,30.0,121.0,287.0,244.0,36.2,109.0,12.0,9.0,3.0,40.24539877300614,48.18763326226013,29.479768786127167,63.13868613138686
SBU,2450.0,294.0,770.0,189.0,437.0,105.0,333.0,141.0,240.0,834.0,135.0,356.0,491.0,162.0,139.0,58.0,30.0,88.0,213.0,224.0,49.0,106.0,12.0,8.0,4.0,38.18181818181818,43.24942791762014,31.53153153153153,58.75
SSCR,2225.0,309.0,852.0,230.0,504.0,79.0,348.0,187.0,256.0,884.0,146.0,243.0,389.0,153.0,119.0,112.0,16.0,128.0,282.0,223.0,-75.0,37.0,11.0,3.0,8.0,36.267605633802816,45.63492063492063,22.701149425287355,73.046875
UPHSD,2475.0,288.0,803.0,211.0,505.0,77.0,298.0,138.0,219.0,791.0,138.0,347.0,485.0,203.0,165.0,89.0,46.0,135.0,211.0,212.0,-15.0,58.0,12.0,5.0,7.0,35.865504358655045,41.78217821782178,25.838926174496645,63.013698630136986
League,2360.0,314.8,803.6,233.3,501.0,81.5,302.6,170.4,263.8,881.5,138.3,310.8,449.1,187.6,154.4,88.9,36.1,125.0,240.7,237.1,-0.02,75.5,11.6,5.8,5.8,39.173718267794925,46.56686626746507,26.933245208195636,64.59438968915845
