TEAM,MINS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP,W,L,FG%,2P%,3P%,FT%
AU,2250.0,319.0,795.0,271.0,587.0,48.0,208.0,160.0,281.0,846.0,132.0,279.0,411.0,155.0,136.0,107.0,32.0,139.0,228.0,255.0,-48.0,38.0,11.0,3.0,8.0,40.125786163522015,46.16695059625213,23.076923076923077,56.93950177935943
CSB,2250.0,347.0,766.0,271.0,490.0,76.0,276.0,147.0,249.0,917.0,159.0,343.0,502.0,200.0,180.0,80.0,45.0,125.0,208.0,217.0,134.0,125.0,11.0,9.0,2.0,45.300261096605745,55.30612244897959,27.536231884057973,59.036144578313255
CSJL,2475.0,311.0,766.0,227.0,448.0,84.0,318.0,173.0,232.0,879.0,107.0,333.0,440.0,189.0,182.0,73.0,55.0,128.0,243.0,227.0,-25.0,77.0,12.0,6.0,6.0,40.60052219321149,50.669642857142854,26.41509433962264,74.56896551724138
EAC,2225.0,286.0,789.0,198.0,485.0,88.0,304.0,163.0,281.0,823.0,134.0,288.0,422.0,194.0,150.0,89.0,41.0,130.0,245.0,240.0,-7.4,71.0,11.0,5.0,6.0,36.248415716096325,40.824742268041234,28.94736842105263,58.00711743772242
JRU,2200.0,289.0,756.0,231.0,531.0,58.0,225.0,207.0,302.0,843.0,144.0,257.0,401.0,190.0,161.0,87.0,45.0,132.0,225.0,254.0,-43.0,44.0,11.0,3.0,8.0,38.22751322751323,43.50282485875706,25.77777777777778,68.54304635761589
LPU,2225.0,309.0,779.0,220.0,450.0,89.0,329.0,183.0,257.0,890.0,113.0,282.0,395.0,188.0,118.0,85.0,18.0,103.0,217.0,229.0,-6.0,77.0,11.0,6.0,5.0,39.66623876765083,48.888888888888886,27.051671732522795,71.20622568093385
MU,2425.0,328.0,815.0,226.0,469.0,102.0,346.0,173.0,274.0,931.0,158.0,326.0,484.0,192.0,164.0,91.0,30.0,121.0,287.0,244.0,36.2,109.0,12.0,9.0,3.0,40.24539877300614,48.18763326226013,29.479768786127167,63.13868613138686
SBU,2450.0,294.0,770.0,189.0,437.0,105.0,333.0,141.0,240.0,834.0,135.0,356.0,491.0,162.0,139.0,58.0,30.0,88.0,213.0,224.0,49.0,106.0,12.0,8.0,4.0,38.18181818181818,43.24942791762014,31.53153153153153,58.75
SSCR,2225.0,309.0,852.0,230.0,504.0,79.0,348.0,187.0,256.0,884.0,146.0,243.0,389.0,153.0,119.0,112.0,16.0,128.0,282.0,223.0,-75.0,37.0,11.0,3.0,8.0,36.267605633802816,45.63492063492063,22.701149425287355,73.046875
UPHSD,2475.0,288.0,803.0,211.0,505.0,77.0,298.0,138.0,219.0,791.0,138.0,347.0,485.0,203.0,165.0,89.0,46.0,135.0,211.0,212.0,-15.0,58.0,12.0,5.0,7.0,35.865504358655045,41.78217821782178,25.838926174496645,63.013698630136986
League,2320.0,308.0,789.1,227.4,490.6,80.6,298.5,167.2,259.1,863.8,136.6,305.4,442.0,182.6,151.4,87.1,35.8,122.9,235.9,232.5,-0.02,74.2,11.4,5.7,5.7,39.03180838930427,46.351406441092536,27.001675041876045,64.53106908529524
