TEAM,MINS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP,W,L,FG%,2P%,3P%,FT%,W%
CSB,204.54545454545453,31.545454545454547,69.63636363636364,24.636363636363637,44.54545454545455,6.909090909090909,25.09090909090909,13.363636363636363,22.636363636363637,83.36363636363636,14.454545454545455,31.181818181818183,45.63636363636363,18.181818181818183,16.363636363636363,7.2727272727272725,4.090909090909091,11.363636363636363,18.90909090909091,19.727272727272727,12.181818181818182,125.0,11.0,9.0,2.0,45.3002610966,55.306122449,27.5362318841,59.0361445783,0.8181818181818182
MU,202.08333333333334,27.333333333333332,67.91666666666667,18.833333333333332,39.083333333333336,8.5,28.833333333333332,14.416666666666666,22.833333333333332,77.58333333333333,13.166666666666666,27.166666666666668,40.333333333333336,16.0,13.666666666666666,7.583333333333333,2.5,10.083333333333334,23.916666666666668,20.333333333333332,3.016666666666667,109.0,12.0,9.0,3.0,40.245398773,48.1876332623,29.4797687861,63.1386861314,0.75
SBU,204.16666666666666,24.5,64.16666666666667,15.75,36.416666666666664,8.75,27.75,11.75,20.0,69.5,11.25,29.666666666666668,40.916666666666664,13.5,11.583333333333334,4.833333333333333,2.5,7.333333333333333,17.75,18.666666666666668,4.083333333333333,106.0,12.0,8.0,4.0,38.1818181818,43.2494279176,31.5315315315,58.75,0.6666666666666666
LPU,202.27272727272728,28.09090909090909,70.81818181818181,20.0,40.90909090909091,8.090909090909092,29.90909090909091,16.636363636363637,23.363636363636363,80.9090909090909,10.272727272727273,25.636363636363637,35.90909090909091,17.09090909090909,10.727272727272727,7.7272727272727275,1.6363636363636365,9.363636363636363,19.727272727272727,20.818181818181817,-0.5454545454545454,77.0,11.0,6.0,5.0,39.6662387677,48.8888888889,27.0516717325,71.2062256809,0.5454545454545454
CSJL,206.25,25.916666666666668,63.833333333333336,18.916666666666668,37.333333333333336,7.0,26.5,14.416666666666666,19.333333333333332,73.25,8.916666666666666,27.75,36.666666666666664,15.75,15.166666666666666,6.083333333333333,4.583333333333333,10.666666666666666,20.25,18.916666666666668,-2.0833333333333335,77.0,12.0,6.0,6.0,40.6005221932,50.6696428571,26.4150943396,74.5689655172,0.5
League,203.50877192982455,27.017543859649123,69.21929824561404,19.94736842105263,43.03508771929825,7.070175438596491,26.184210526315788,14.666666666666666,22.7280701754386,75.7719298245614,11.982456140350877,26.789473684210524,38.771929824561404,16.017543859649123,13.280701754385966,7.640350877192982,3.140350877192982,10.780701754385966,20.69298245614035,20.394736842105264,-0.0017543859649122807,74.2,11.4,5.7,5.7,39.0318083893,46.3514064411,27.0016750419,64.5310690853,0.5
EAC,202.27272727272728,26.0,71.72727272727273,18.0,44.09090909090909,8.0,27.636363636363637,14.818181818181818,25.545454545454547,74.81818181818181,12.181818181818182,26.181818181818183,38.36363636363637,17.636363636363637,13.636363636363637,8.090909090909092,3.727272727272727,11.818181818181818,22.272727272727273,21.818181818181817,-0.6727272727272727,71.0,11.0,5.0,6.0,36.2484157161,40.824742268,28.9473684211,58.0071174377,0.45454545454545453
UPHSD,206.25,24.0,66.91666666666667,17.583333333333332,42.083333333333336,6.416666666666667,24.833333333333332,11.5,18.25,65.91666666666667,11.5,28.916666666666668,40.416666666666664,16.916666666666668,13.75,7.416666666666667,3.8333333333333335,11.25,17.583333333333332,17.666666666666668,-1.25,58.0,12.0,5.0,7.0,35.8655043587,41.7821782178,25.8389261745,63.0136986301,0.4166666666666667
AU,204.54545454545453,29.0,72.27272727272727,24.636363636363637,53.36363636363637,4.363636363636363,18.90909090909091,14.545454545454545,25.545454545454547,76.9090909090909,12.0,25.363636363636363,37.36363636363637,14.090909090909092,12.363636363636363,9.727272727272727,2.909090909090909,12.636363636363637,20.727272727272727,23.181818181818183,-4.363636363636363,38.0,11.0,3.0,8.0,40.1257861635,46.1669505963,23.0769230769,56.9395017794,0.2727272727272727
JRU,200.0,26.272727272727273,68.72727272727273,21.0,48.27272727272727,5.2727272727272725,20.454545454545453,18.818181818181817,27.454545454545453,76.63636363636364,13.090909090909092,23.363636363636363,36.45454545454545,17.272727272727273,14.636363636363637,7.909090909090909,4.090909090909091,12.0,20.454545454545453,23.09090909090909,-3.909090909090909,44.0,11.0,3.0,8.0,38.2275132275,43.5028248588,25.7777777778,68.5430463576,0.2727272727272727
SSCR,202.27272727272728,28.09090909090909,77.45454545454545,20.90909090909091,45.81818181818182,7.181818181818182,31.636363636363637,17.0,23.272727272727273,80.36363636363636,13.272727272727273,22.09090909090909,35.36363636363637,13.909090909090908,10.818181818181818,10.181818181818182,1.4545454545454546,11.636363636363637,25.636363636363637,20.272727272727273,-6.818181818181818,37.0,11.0,3.0,8.0,36.2676056338,45.6349206349,22.7011494253,73.046875,0.2727272727272727
