PLAYER,TEAM,SP,GP,MPG,EWA,PER,WS,OWS,DWS,EFF,GmSc,TS%,EFG%,PPWS,FTR,REB%,OREB%,DREB%,AR,pAST%,TOR,AST/TO,PPR,USG%,aSP,ORtg,DRtg,Floor%,Stop%,FFI,PIE,AV
S. Estrada,CSJL,75.0909090909091,11.0,32.61363636363637,1.491368160519754,19.17581882270301,0.6253065551160917,0.43097320606767814,0.1943333490484136,18.0,10.654545454545454,54.38980432543769,48.89705882352941,1.077119184193754,0.3235294117647059,12.494626737354922,5.777580306963185,17.95375356350966,8.854251644746865,36.47449167682841,7.803747212319272,1.1346153846153846,-3.5350024871458277,27.043525111552462,71.64637197664722,95.81593158754987,98.85915776456402,45.85752210778758,0.5479110311513269,48.61634396419518,10.751104565537556,2.513504099891292
K. Santos,CSJL,49.23076923076923,13.0,24.876923076923074,1.266004212349429,18.688486291967696,0.5226304294582149,0.2458464085930984,0.27678402086511655,13.153846153846153,7.984615384615383,51.02040816326531,45.36082474226804,1.0110584518167456,0.29896907216494845,15.043584681068563,9.425165225740491,19.609827402035194,2.6636166808615567,9.85740673333228,4.494853148953877,0.5925925925925926,-5.056547616680886,19.785603569029373,46.972477064220186,94.77080338117403,95.01060624864665,45.16649259274115,0.6363544440401541,48.39018573729108,9.241531664212076,2.2517894914744274
J. Miller,CSJL,38.333333333333336,12.0,15.131944444441666,1.0847410039756622,22.82732125557493,0.538183605284988,0.40678418311190234,0.13139942217308562,8.25,5.958333333333335,63.89055923030668,55.769230769230774,1.2560029553010714,0.6346153846153846,9.934346407742714,5.371591549600427,13.64262171972381,6.522865980150508,24.368515363280856,6.226372071961849,1.0476190476190477,-3.4920114059581424,22.550779131919416,36.574923547400616,108.88970251480734,96.63039760710498,48.45326488197774,0.5991300817528439,56.3446483688527,6.0382916053019144,1.4945384795896173
V. Cuajao,CSJL,46.53846153846154,13.0,33.15256410256923,0.7269523427498743,14.210326483453393,0.7022002991390159,0.706817896933249,-0.004617597794233059,9.461538461538462,7.9,53.317535545023695,51.388888888888886,1.0619469026548671,0.125,3.4245588383537378,1.1315884205281883,5.288118432477412,2.373476215807753,8.731011490419764,0.9993584066558961,2.375,1.0840906449156766,17.36091184932221,44.403669724770644,110.90943463456475,105.62632113466368,43.619914724771995,0.3923951126161406,47.407033637997216,7.253313696612666,1.7587719833857833
P. Javillonar,CSJL,42.55555555555556,9.0,23.898148148155556,0.6015076820311648,16.441218632540565,0.40185865776299357,0.3749292539297112,0.026929403833282323,9.444444444444445,6.633333333333334,58.482986767485826,54.22535211267606,1.1548556430446195,0.43661971830985913,9.911952051424361,7.369288736219304,11.978443873054651,1.2515695969445375,4.82866365625624,3.7547087908336128,0.3333333333333333,-5.430743895170503,21.674904216991862,40.603465851172274,106.05885179441958,103.96128302761218,47.84697351979482,0.43065928867524284,53.77461716925377,4.2341678939617085,1.333045274044668
K. Monje,CSJL,28.2,10.0,16.21333333333,0.3383549649378848,15.014655506940512,0.26079590756815046,0.24345560792553153,0.01734029964261893,5.9,4.070000000000001,57.25758477096966,52.58620689655172,1.1327694005148954,0.3620689655172414,6.743091115453005,2.2559939067471966,10.389877392346634,2.324435434622597,9.09890256661649,3.9847464593530226,0.5833333333333334,-4.528437791584388,22.86664144296773,26.906422018348625,102.56873592359428,104.184894969105,45.4280400501761,0.4255204713340889,50.92052940789049,2.7614138438880707,1.013723965975603
R. Go,CSJL,19.333333333333332,9.0,8.344444444444443,0.3317511865271624,19.699093008250287,0.2200155312547774,0.21506558367081915,0.004949947583958256,3.888888888888889,2.811111111111112,54.05405405405405,43.47826086956522,1.062240663900415,0.6521739130434783,10.190358024806777,12.987902781377255,7.9167171044667715,2.867555374802355,10.616228219687747,1.4337776874011774,2.0,0.8887673573926453,19.68690167399707,18.446483180428135,120.7618391437643,104.68763874103243,58.39917288200171,0.4139669362407005,54.413049177903424,1.4727540500736378,0.6852226948341995
J. Estrada,CSJL,107.0,1.0,44.0,0.3072248675629339,24.854590540943114,0.10778262039494606,0.10041663767763319,0.007365982717312872,25.0,18.9,58.50234009360374,52.17391304347826,1.1605415860735009,0.2608695652173913,8.69654417798851,5.541997152735408,11.260330578512397,6.117994563853887,29.52649257774406,7.341593476624664,0.8333333333333334,-6.067857140017061,33.64449584960556,102.09174311926606,102.52953286572118,103.44427084235687,45.565575401169845,0.44254072562105723,49.05560975704309,1.6200294550810015,0.53239713749995
E. Galoy,CSJL,20.333333333333332,3.0,5.744444444433333,0.03685132272400367,15.11813299857199,0.02111698944915938,0.011116566338455267,0.01000042311070411,1.6666666666666667,1.5,36.98224852071006,20.0,0.7246376811594203,0.8,3.1719917974487535,7.074889982229099,0.0,9.37224699145387,30.178672507631994,3.1240823304846237,3.0,5.809650453219063,21.06796845846444,19.400611620795107,92.53777692551336,98.38630270751196,44.67081615988732,0.5587776948492029,45.63395741382467,0.18409425625920472,0.15922388213724334
C. Dimaano,CSJL,46.0,1.0,20.05,-0.013923888645506288,9.424138844016577,0.025272311589537858,0.01308985721918839,0.012182454370349469,10.0,3.0,69.44444444444444,50.0,1.3559322033898304,1.0,19.084685477880022,12.161988764107628,24.710949897982317,8.0556137898126,25.577648107879792,8.0556137898126,1.0,-4.993498394527756,13.721234155776724,43.88990825688074,94.72375877525994,98.0517681865767,42.29013050846709,0.5664656196796934,60.418494305368384,0.29455081001472755,0.2677815834239758
