PLAYER,TEAM,SP,GP,MPG,EWA,PER,WS,OWS,DWS,EFF,GmSc,TS%,EFG%,PPWS,FTR,REB%,OREB%,DREB%,AR,pAST%,hAST%,TOR,hTO%,AST/TO,STL/TO,PPR,USG%,STL%,BLK%,aSP,ORtg,DRtg,Floor%,Stop%,FFI,PIE,AV,DRE/100,DRE/75,POS
M. Cuenco,MU,55.77777777777778,18.0,26.208333333333332,2.08895992743804,19.720496988130282,2.3553651295208344,1.9657742238146565,0.3895909057061781,11.333333333333334,8.55,58.13336164790825,57.100591715976336,1.162667232958165,0.2603550295857988,6.41317922403346,4.122646359869118,8.788677758584114,5.8057877247261445,22.0030349013657,19.744835965978126,2.5679445705519486,8.733292831105711,2.260869565217391,0.4782608695652174,2.5136591463038402,19.825719561473235,,5.035488036027701,55.39310344827586,118.75618032372175,98.7566759999199,49.809292633915106,0.4479956491601566,51.92810525951336,8.816497310221159,2.5704154965776342,5.095762402301926,3.8218218017264443,49.758775653912764
C. Escamis,MU,72.38888888888889,18.0,31.51574074073333,2.226426986538995,18.708682744562267,2.24862928799283,1.4434925284684308,0.8051367595243992,12.166666666666666,10.050000000000002,46.55056932350971,40.54054054054054,0.9310113864701942,0.3474903474903475,6.302834864658051,2.6665117258436397,10.074044796875159,6.685011984404797,25.036451538646322,17.4503150751333,3.8995903242361316,10.179350460494426,1.7142857142857142,0.8095238095238095,1.075035317407229,26.568233937063717,,20.937434095219558,71.88965517241378,100.50083701626184,94.15977873948393,43.9637220165305,0.5562795657119973,45.98697619268113,10.54991034070532,2.710901834088239,5.026509965370336,3.7698824740277517,59.83534523694862
C. Hubilla,MU,58.111111111111114,18.0,25.288888888883335,1.8752966631766936,19.10063772624337,1.820493984403432,1.1974816267995532,0.6230123576038787,12.666666666666666,8.138888888888891,54.90344566452101,50.0,1.0980689132904202,0.5028901734104047,13.776065349056687,8.070345914998931,19.693434344810555,3.702690765364554,14.72118581690339,11.023839051949842,5.438327061629189,16.19126360755133,0.6808510638297872,0.2127659574468085,-5.731109720984214,25.10768038946344,,20.874266089600965,57.71034482758621,101.53531790537251,94.55195631207485,49.650436695785885,0.547041481600474,52.79784001874856,9.085475194261805,2.794034989921531,4.901644487410552,3.676233365557914,48.013131272191025
Y. Concepcion,MU,42.666666666666664,18.0,17.162962962961114,1.775245249825815,22.370203772605546,1.6659040961371274,1.0646410194842588,0.6012630766528686,9.944444444444445,6.366666666666666,57.78201865988126,55.487804878048784,1.1556403731976252,0.34146341463414637,15.312858773610715,14.339518635988906,16.322304264096392,3.0688626579784892,11.212496133623564,14.137606032045241,2.5573855483154078,11.7813383600377,1.2,1.2666666666666666,-0.9870246304106925,15.658599629607588,,76.89333667446022,42.37241379310345,117.98068048766636,90.07779208114576,56.90742239496621,0.6524343148036262,54.54563051085064,6.724447101016139,2.3303463780990694,9.13638906009026,6.8522917950676945,32.585361791938794
L. Mangubat,MU,49.833333333333336,18.0,26.892592592594443,0.33138897440609055,12.196033270671112,1.188527974813215,0.6381334461807086,0.5503945286325064,7.944444444444445,5.405555555555555,45.67361578121498,44.01197604790419,0.9134723156242995,0.15568862275449102,8.29545627909165,4.687373964287583,12.03737781422848,4.243548277140603,14.690066865130715,15.889830508474576,3.0466500451265865,11.408083441981749,1.3928571428571428,0.6428571428571429,-0.41994877999562424,18.871513842681356,,0.0,49.4896551724138,96.42460395879449,96.34622821362454,38.7153386249456,0.5047758450523357,45.11593204205491,5.768081291093844,1.9691678354869413,2.5188543236609506,1.889140742745713,51.057900727516056
J. Recto,MU,51.333333333333336,12.0,20.11388888889167,0.7343351613371848,16.93523411526393,0.7661306285021703,0.1985979264128595,0.5675327020893108,10.083333333333334,5.6499999999999995,49.763033175355446,46.3768115942029,0.995260663507109,0.5072463768115942,15.497234911883663,7.162393482550247,24.141251293773497,6.110130086358959,21.5714194631549,19.943019943019944,6.11013008635896,19.943019943019944,1.0,0.5714285714285714,-3.9303478600259836,20.606635338261896,,68.8928616225805,50.97931034482759,91.05309870609256,86.94002240695004,43.87953339237236,0.7263472108963448,51.06436646477538,4.572624028690974,1.7372796520909237,9.109287940169327,6.831965955126996,38.18794854372359
J. Bancale,MU,31.88235294117647,17.0,13.092156862747059,0.3466834104801537,13.950898555032222,0.6934378881640169,0.4639021417072601,0.2295357464567568,4.823529411764706,3.0176470588235293,51.83413078149921,46.96969696969697,1.0366826156299842,0.3181818181818182,8.650287047487843,6.7964699425269615,10.572870165615743,5.679640380238094,19.941093551230058,20.470829068577277,4.259730285178571,15.353121801432959,1.3333333333333333,0.3888888888888889,-0.9133587214461527,18.53788614951235,,0.0,31.662474645030425,102.12207464913664,97.16507200882465,45.59137543979018,0.4854872666558649,48.854967477816814,2.8093245666467426,1.2976007699256806,1.477683227812815,1.1082624208596112,24.856586180957656
M. Igliane,MU,35.94117647058823,17.0,20.720588235288236,-0.5505366607019094,7.678541694787362,0.5953860421738226,0.08898470127542651,0.5064013408983962,6.294117647058823,2.5294117647058827,38.22424892703862,32.8125,0.7644849785407725,0.375,13.273654837591312,7.668395316886714,19.0868374317069,3.289587154069302,10.222393129529518,19.37301866854526,2.5419537099626424,14.97005988023952,1.2941176470588236,0.47058823529411764,-0.6732824427362235,11.501986393278637,,47.20636016175216,35.69330628803245,88.42829573173599,94.01776030945004,40.33313394863125,0.5596249334579702,44.648190635886685,2.510460251046025,1.5842311141122996,2.802463138332162,2.101847353749122,39.33981944992603
J. Jabonete,MU,33.375,16.0,12.785416666675,0.3029486995027172,13.796667195698541,0.49082485145252536,0.08251885775032254,0.40830599370220283,5.4375,2.8562499999999997,40.63644688644688,42.405063291139236,0.8127289377289377,0.24050632911392406,17.478376265942302,8.979032411204933,26.292997172478273,2.3172738401599347,8.700928098989802,8.542141230068337,2.3172738401599347,8.542141230068337,1.0,0.7777777777777778,-1.4905889318297785,20.843948431375935,,69.67385800537944,33.144827586206894,88.32810263013842,89.69280443101407,42.767537940244225,0.6615030340328214,46.78610827536555,2.7794381350866706,1.3565010826918096,7.57601018616777,5.6820076396258274,24.27421352847867
T. Abdullah,MU,20.90909090909091,11.0,4.7939393939363635,0.12415379670469391,15.552284412956874,0.2202915789876374,0.12526245111162695,0.09502912787601044,1.7272727272727273,1.2,60.09615384615385,57.14285714285714,1.2019230769230769,0.42857142857142855,4.172509779022683,2.048944816971645,6.374846857131255,3.9952548271048673,13.834557771215596,16.233766233766232,3.995254827104867,16.233766233766232,1.0,1.25,-2.5699520367049007,17.31978656369615,,0.0,20.764890282131663,106.83650907746556,91.19467530346371,44.355570832130795,0.6261251582591623,53.6966895423324,0.5080693365212193,0.4333570896870438,6.7010663531890104,5.025799764891758,9.10170638351672
