PLAYER,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GP
A. Acop,AU,5.383333333325,0.375,1.625,23.0769230769,0.375,1.25,30.0,0.0,0.375,0.0,0.375,0.5,75.0,1.125,0.625,0.5,1.125,0.875,0.125,0.375,0.0,0.375,0.5,0.5,1.25,8.0
C. Hernal,AU,17.60833333334,1.9,4.8,39.5833333333,1.9,4.4,43.1818181818,0.0,0.4,0.0,2.0,3.4,58.8235294118,5.8,2.4,3.2,5.6,1.5,0.9,1.2,0.9,2.1,2.7,2.5,1.2,10.0
J. Dela Cruz,AU,2.3333333333399997,0.2,0.8,25.0,0.2,0.8,25.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,0.4,0.2,-2.8,5.0
J. Espiritu,AU,2.1138888888666667,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.5,0.16666666666666666,0.0,0.0,0.0,0.5,0.0,-3.1666666666666665,6.0
J. Libang,AU,7.233333333349999,1.0,2.3,43.4782608696,1.0,2.2,45.4545454545,0.0,0.1,0.0,0.1,0.6,16.6666666667,2.1,0.7,0.9,1.6,0.3,0.4,0.3,0.0,0.3,1.1,0.9,-1.1,10.0
G. Borromeo,AU,18.093939393936363,1.3636363636363635,3.727272727272727,36.5853658537,1.3636363636363635,3.3636363636363638,40.5405405405,0.0,0.36363636363636365,0.0,0.18181818181818182,0.8181818181818182,22.2222222222,2.909090909090909,1.0,2.6363636363636362,3.6363636363636362,1.5454545454545454,0.7272727272727273,0.9090909090909091,0.0,0.9090909090909091,1.7272727272727273,1.0909090909090908,-0.8181818181818182,11.0
J. Ongotan,AU,24.590909090900002,4.7272727272727275,12.181818181818182,38.8059701493,4.2727272727272725,8.909090909090908,47.9591836735,0.45454545454545453,3.272727272727273,13.8888888889,2.8181818181818183,3.727272727272727,75.6097560976,12.727272727272727,2.6363636363636362,2.8181818181818183,5.454545454545454,2.090909090909091,1.3636363636363635,1.8181818181818181,0.36363636363636365,2.1818181818181817,2.4545454545454546,3.272727272727273,-0.36363636363636365,11.0
B. Rosalin,AU,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,-3.0,2.0
K. Flores,AU,14.0833333333,2.5,8.0,31.25,2.5,6.0,41.6666666667,0.0,2.0,0.0,0.0,0.5,0.0,5.0,1.0,0.5,1.5,0.0,0.5,0.5,0.5,1.0,2.5,0.5,-10.5,2.0
J. Camay,AU,15.184848484845453,2.0,3.909090909090909,51.1627906977,1.7272727272727273,2.6363636363636362,65.5172413793,0.2727272727272727,1.2727272727272727,21.4285714286,0.8181818181818182,1.2727272727272727,64.2857142857,5.090909090909091,0.5454545454545454,1.1818181818181819,1.7272727272727273,1.3636363636363635,1.3636363636363635,0.5454545454545454,0.0,0.5454545454545454,1.9090909090909092,1.4545454545454546,0.09090909090909091,11.0
