PLAYER,TEAM,SP,GP,MPG,EWA,PER,WS,OWS,DWS,EFF,GmSc,TS%,EFG%,PPWS,FTR,REB%,OREB%,DREB%,AR,pAST%,TOR,AST/TO,PPR,USG%,aSP,ORtg,DRtg,Floor%,Stop%,FFI,PIE,AV
J. Barba,LPU,71.16666666666667,12.0,27.072222222233332,2.5191036981257495,26.406081776823353,0.981138704083212,0.872590225042049,0.10854847904116303,17.083333333333332,12.550000000000002,54.978008796481404,50.28571428571429,1.0887046888531486,0.32571428571428573,12.387376430289928,5.35435504861236,19.730222542437875,5.649988838829437,23.724545256888064,4.708324032357864,1.2,-1.8117522326650053,31.135884088169323,70.43298969072166,105.59193077829869,101.77996538043519,46.88750152351398,0.5652549860358348,49.893790001633015,11.644782308223911,2.579859774868705
R. Villegas,LPU,46.25,12.0,21.423611111116667,1.4098861317896518,21.843161587927906,0.6228992686894632,0.5830912795338465,0.039807989155616716,10.083333333333334,8.291666666666668,55.1406738450851,48.46938775510204,1.0898948723449904,0.3979591836734694,6.708629072820035,5.572082145127086,7.895244147107385,4.561462986257951,16.639733485810947,3.371516120277616,1.3529411764705883,-0.635956681417461,22.600268204586524,45.77319587628866,108.46518952300661,103.83111666234217,48.71309533279541,0.5177539030923752,50.628680256098875,6.945404284727021,1.7372796520909237
M. Guadana,LPU,56.285714285714285,7.0,25.095238095242856,1.197235501753361,24.51891854947134,0.4783672084637988,0.4615098205193302,0.01685738794446863,13.142857142857142,10.871428571428572,53.22323915638679,48.837209302325576,1.0523727563314482,0.38372093023255816,8.032822417063189,3.4948238176439936,12.770732849055916,4.063393828407199,16.442005004434908,2.031696914203599,2.0,1.3029871475532289,26.908369373616292,55.70544918998527,109.00811375806836,104.5047633235514,50.83050385123813,0.5021534224204016,50.481738209396504,5.459571527297857,1.4145606597339633
G. Montano,LPU,40.75,12.0,20.704166666666666,0.8442227366023827,17.649896158465644,0.4580262640135254,0.45155727541137547,0.00646898860214993,9.083333333333334,6.233333333333334,57.4656188605108,54.83870967741935,1.1414634146341462,0.21505376344086022,7.152101650925394,4.118360841436314,10.319487429995489,3.693888188317857,13.618707392789734,3.488672177855754,1.0588235294117647,-1.9741661925672938,21.02155919273827,40.329896907216494,105.77698799501454,105.30474398217824,45.20790138530436,0.48362726691261904,50.112794446403974,4.733932273669661,1.6063884716043983
V. Cunanan,LPU,55.333333333333336,12.0,26.741666666658332,0.7087865286497431,15.259579066956771,0.42941923326539344,0.28757077714986173,0.1418484561155317,11.0,7.108333333333332,40.50155348424323,35.0,0.8028594995875722,0.2875,7.980316674012008,3.5074086200083774,12.650269135680995,9.691932021685416,30.505975397253454,2.542146104048634,3.8125,7.540383857945108,14.538346307107174,54.76288659793815,98.14719142696723,100.54552003705734,44.41898308724696,0.5938425851867087,43.378445197989514,6.841741534208707,1.8544330282948824
J. Daileg,LPU,32.166666666666664,12.0,16.416666666658333,0.632478808721125,17.27321018035587,0.38540343451757814,0.35850026223257014,0.026903172285007968,7.416666666666667,4.949999999999999,53.5815002820079,49.2063492063492,1.0621942697414395,0.2857142857142857,11.672938911260957,4.674548608882408,18.979628345902878,2.588117654788599,8.841491204088973,1.5528705928731594,1.6666666666666667,0.3319672355624997,17.16566113163135,31.835051546391753,110.49206923916708,104.04025421153685,46.94419734785884,0.5129106425496172,49.514946041812166,4.906703524533517,1.3798224611823455
N. Moralejo,LPU,17.727272727272727,11.0,8.2712121212,0.2657381338286438,16.69067575376102,0.19462560103172008,0.20405927088110046,-0.009433669849380365,3.3636363636363638,2.3999999999999995,66.10576923076923,61.904761904761905,1.3056379821958457,0.42857142857142855,6.3186544207380795,3.373826986447029,9.393209935834902,3.3623246762737367,11.367483528237011,2.2415497841824914,1.5,0.0,13.993430624860355,17.544517338331772,122.27381018151536,106.7888482634055,53.836123573508424,0.449258002596933,56.30485414171997,1.9004837595024189,0.7143844592397374
J. Bravo,LPU,44.4,5.0,21.81666666668,0.25973165735974924,15.605888140193525,0.1454681538075122,0.12826844447651944,0.017199709330992782,10.0,5.9,46.80998613037448,38.54166666666667,0.9238665526090676,0.4583333333333333,16.289744738010643,9.380046610122784,23.503834853911187,2.3370168586376634,8.268454850252175,3.7392269738202617,0.625,-4.196633929780058,26.47050513789501,43.942268041237114,95.7783710852976,103.79873689452295,43.30544998394173,0.5185037619889074,48.23286924523616,1.93503800967519,0.8953816888300937
D. Culanay,LPU,14.25,4.0,1.87083333335,0.03548461008179597,20.35105562544871,0.011847346062403171,0.007570280219595868,0.004277065842807302,0.75,0.65,50.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,23.499162589769835,14.103092783505154,97.43214314108907,99.06382671534607,48.716071570544536,0.628156015888876,45.0,0.138217000691085,0.10854795509308464
R. Colian,LPU,15.0,1.0,1.5166666667,-0.017197105808222608,-11.970889675011703,-0.0005762249582970376,0.0,-0.0005762249582970376,0.0,-0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,14.845360824742269,,109.94922039065918,,0.37606930126949856,25.0,-0.0691085003455425,0.0
