PLAYER,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
J. Barba,LPU,27.34000000002,7.0,15.2,46.0526315789,4.7,8.6,54.6511627907,2.3,6.6,34.8484848485,3.5,4.6,76.0869565217,19.8,1.6,5.3,6.9,2.8,2.6,0.9,0.0,0.9,2.5,3.7,1.2,5.0,10.0
C. Escamis,MU,32.23666666666,5.4,15.9,33.9622641509,3.2,6.7,47.7611940299,2.2,9.2,23.9130434783,4.1,5.5,74.5454545455,17.1,0.8,3.2,4.0,4.4,2.6,2.1,0.3,2.4,2.1,4.8,3.8,7.0,10.0
R. Are,SSCR,28.855555555555554,4.777777777777778,13.222222222222221,36.1344537815,3.6666666666666665,8.222222222222221,44.5945945946,1.1111111111111112,5.0,22.2222222222,5.666666666666667,7.333333333333333,77.2727272727,16.333333333333332,2.0,2.6666666666666665,4.666666666666667,4.777777777777778,2.4444444444444446,2.6666666666666665,0.1111111111111111,2.7777777777777777,3.3333333333333335,5.666666666666667,-4.555555555555555,2.0,9.0
K. Gurtiza,EAC,28.08333333333,5.1,15.9,32.0754716981,2.6,8.4,30.9523809524,2.5,7.5,33.3333333333,3.1,4.6,67.3913043478,15.8,1.8,2.2,4.0,3.0,1.5,1.0,0.4,1.4,1.5,3.3,1.1,5.0,10.0
J. Guiab,JRU,25.746666666649997,5.7,9.6,59.375,5.3,8.0,66.25,0.4,1.6,25.0,3.8,4.8,79.1666666667,15.6,2.5,3.7,6.2,2.6,1.6,0.7,0.1,0.8,1.8,3.8,0.3,3.0,10.0
J. Estrada,CSJL,32.519999999999996,6.1,12.1,50.4132231405,6.0,11.1,54.0540540541,0.1,1.0,10.0,3.2,4.0,80.0,15.5,1.6,5.9,7.5,4.9,4.9,0.6,0.9,1.5,3.3,3.5,1.7,6.0,10.0
M. Guadana,LPU,25.095238095242856,5.428571428571429,12.285714285714286,44.1860465116,4.285714285714286,7.428571428571429,57.6923076923,1.1428571428571428,4.857142857142857,23.5294117647,3.2857142857142856,4.714285714285714,69.696969697,15.285714285714286,0.8571428571428571,3.0,3.857142857142857,2.0,1.0,1.0,0.2857142857142857,1.2857142857142858,1.2857142857142858,3.7142857142857144,0.14285714285714285,3.0,7.0
R. Escobido,SSCR,25.742592592599998,5.666666666666667,16.77777777777778,33.7748344371,4.222222222222222,9.444444444444445,44.7058823529,1.4444444444444444,7.333333333333333,19.696969697,1.6666666666666667,2.0,83.3333333333,14.444444444444445,1.5555555555555556,2.5555555555555554,4.111111111111111,2.2222222222222223,1.8888888888888888,1.8888888888888888,0.1111111111111111,2.0,2.4444444444444446,1.8888888888888888,-5.888888888888889,2.0,9.0
A. Liwag,CSB,32.72592592592222,5.888888888888889,11.333333333333334,51.9607843137,5.888888888888889,11.222222222222221,52.4752475248,0.0,0.1111111111111111,0.0,2.3333333333333335,5.111111111111111,45.652173913,14.11111111111111,3.888888888888889,8.777777777777779,12.666666666666666,2.111111111111111,2.0,0.4444444444444444,1.4444444444444444,1.8888888888888888,2.111111111111111,5.222222222222222,11.777777777777779,7.0,9.0
Y. Andrada,SBU,30.15333333332,5.1,11.4,44.7368421053,2.8,5.0,56.0,2.3,6.4,35.9375,1.1,1.9,57.8947368421,13.6,1.8,4.8,6.6,1.4,1.4,0.4,0.5,0.9,0.9,1.6,4.2,7.0,10.0
S. Argente,JRU,21.43333333332,3.8,11.8,32.2033898305,1.6,4.4,36.3636363636,2.2,7.4,29.7297297297,3.7,4.9,75.5102040816,13.5,0.4,2.0,2.4,1.8,1.3,0.9,0.0,0.9,1.9,3.6,1.5,3.0,10.0
M. Gojo Cruz,UPHSD,27.26999999999,4.6,11.4,40.350877193,2.7,5.5,49.0909090909,1.9,5.9,32.2033898305,2.1,2.6,80.76923076919999,13.2,1.1,4.2,5.3,2.6,1.6,1.2,0.8,2.0,1.3,2.0,4.8,4.0,10.0
M. Cuenco,MU,29.523333333329997,4.8,10.8,44.4444444444,2.4,5.3,45.2830188679,2.4,5.5,43.6363636364,1.1,1.7,64.7058823529,13.1,1.1,2.4,3.5,3.3,1.3,0.9,0.1,1.0,2.7,1.9,1.5,7.0,10.0
J. Puno,SBU,25.44833333333,3.9,8.8,44.3181818182,2.7,6.5,41.5384615385,1.2,2.3,52.1739130435,3.5,4.9,71.4285714286,12.5,1.8,5.3,7.1,0.9,1.3,0.7,0.0,0.7,1.2,4.0,8.0,7.0,10.0
T. Ongotan,AU,24.489999999989998,4.6,12.2,37.7049180328,4.1,8.6,47.6744186047,0.5,3.6,13.8888888889,2.8,3.6,77.7777777778,12.5,2.4,2.8,5.2,2.2,1.3,1.9,0.2,2.1,2.3,3.0,0.5,3.0,10.0
P. Javillonar,CSJL,24.99761904762857,4.142857142857143,8.571428571428571,48.3333333333,2.5714285714285716,4.0,64.2857142857,1.5714285714285714,4.571428571428571,34.375,2.5714285714285716,3.4285714285714284,75.0,12.428571428571429,1.4285714285714286,3.2857142857142856,4.714285714285714,0.5714285714285714,1.7142857142857142,0.2857142857142857,0.2857142857142857,0.5714285714285714,2.2857142857142856,3.4285714285714284,-4.714285714285714,5.0,7.0
B. Sajonia,SBU,22.136666666670003,3.7,9.8,37.7551020408,2.3,5.5,41.8181818182,1.4,4.3,32.5581395349,3.3,4.7,70.2127659574,12.1,0.7,3.3,4.0,2.3,1.8,0.8,0.4,1.2,1.9,3.9,6.3,7.0,10.0
J. Capulong,AU,23.17333333334,4.3,9.7,44.3298969072,3.9,8.0,48.75,0.4,1.7,23.5294117647,2.7,4.9,55.1020408163,11.7,1.0,4.1,5.1,1.0,0.9,1.0,0.9,1.9,2.6,4.9,-2.7,3.0,10.0
C. Hubilla,MU,24.05,4.1,9.1,45.0549450549,4.1,8.9,46.0674157303,0.0,0.2,0.0,3.5,5.6,62.5,11.7,1.8,4.4,6.2,0.8,1.9,0.5,0.2,0.7,3.4,3.9,3.1,7.0,10.0
T. Felebrico,SSCR,29.662962962955557,3.6666666666666665,9.11111111111111,40.243902439,3.111111111111111,6.666666666666667,46.6666666667,0.5555555555555556,2.4444444444444446,22.7272727273,3.6666666666666665,5.0,73.3333333333,11.555555555555555,2.6666666666666665,5.555555555555555,8.222222222222221,1.7777777777777777,2.0,1.2222222222222223,0.0,1.2222222222222223,3.111111111111111,4.111111111111111,-5.222222222222222,2.0,9.0
W. Ynot,CSB,23.929166666675,4.25,10.25,41.4634146341,2.5,4.75,52.6315789474,1.75,5.5,31.8181818182,1.125,1.5,75.0,11.375,1.75,4.125,5.875,4.25,2.75,1.375,0.0,1.375,1.625,1.125,10.5,7.0,8.0
V. Cuajao,CSJL,31.51833333335,3.7,10.2,36.2745098039,1.1,1.4,78.5714285714,2.6,8.8,29.5454545455,0.7,0.8,87.5,10.7,0.3,2.0,2.3,1.5,0.6,0.8,0.1,0.9,1.5,0.9,-0.1,6.0,10.0
R. Villegas,LPU,19.83500000001,3.4,7.9,43.0379746835,2.3,5.1,45.0980392157,1.1,2.8,39.2857142857,2.7,3.4,79.4117647059,10.6,1.2,1.5,2.7,1.8,1.4,1.4,0.1,1.5,0.9,2.4,3.2,5.0,10.0
K. Vinoya,AU,24.56,3.8,8.8,43.1818181818,2.5,5.2,48.0769230769,1.3,3.6,36.1111111111,1.4,2.9,48.275862069,10.3,0.6,4.0,4.6,1.4,2.2,1.2,0.2,1.4,2.1,2.3,-1.1,3.0,10.0
C. Pagaran,UPHSD,25.78833333334,3.8,10.4,36.5384615385,3.0,6.4,46.875,0.8,4.0,20.0,1.6,2.9,55.1724137931,10.0,0.8,4.0,4.8,1.8,1.2,0.4,0.5,0.9,1.0,2.1,-1.7,4.0,10.0
J. Sanchez,CSB,24.124074074066666,3.2222222222222223,6.444444444444445,50.0,3.2222222222222223,5.666666666666667,56.862745098,0.0,0.7777777777777778,0.0,3.4444444444444446,4.777777777777778,72.0930232558,9.88888888888889,2.4444444444444446,3.5555555555555554,6.0,1.8888888888888888,2.5555555555555554,1.2222222222222223,0.5555555555555556,1.7777777777777777,2.111111111111111,3.6666666666666665,4.666666666666667,7.0,9.0
M. Raymundo,JRU,24.56666666668,3.3,10.2,32.3529411765,3.1,9.2,33.6956521739,0.2,1.0,20.0,2.9,3.6,80.5555555556,9.7,2.8,3.2,6.0,2.4,2.0,1.4,0.6,2.0,2.0,3.1,-0.5,3.0,10.0
G. Montano,LPU,21.105,3.4,7.9,43.0379746835,1.8,3.5,51.4285714286,1.6,4.4,36.3636363636,1.1,1.6,68.75,9.5,0.8,2.2,3.0,1.6,1.4,0.6,0.5,1.1,2.9,2.1,2.1,5.0,10.0
S. Orgo,UPHSD,29.518333333330002,3.3,8.9,37.0786516854,1.9,4.3,44.1860465116,1.4,4.6,30.4347826087,1.5,2.0,75.0,9.5,0.9,4.1,5.0,3.8,2.6,1.6,0.0,1.6,1.9,2.5,2.6,4.0,10.0
H. Pagsanjan,EAC,23.82833333335,3.7,8.2,45.1219512195,3.3,6.5,50.7692307692,0.4,1.7,23.5294117647,1.7,2.8,60.7142857143,9.5,1.3,3.9,5.2,0.9,1.0,0.8,0.4,1.2,2.9,2.4,1.7,5.0,10.0
G. Cometa,CSB,19.007407407400002,3.888888888888889,8.555555555555555,45.4545454545,2.888888888888889,5.111111111111111,56.5217391304,1.0,3.4444444444444446,29.0322580645,0.6666666666666666,1.0,66.6666666667,9.444444444444445,1.0,1.2222222222222223,2.2222222222222223,2.0,2.2222222222222223,0.8888888888888888,0.0,0.8888888888888888,1.4444444444444444,0.8888888888888888,4.444444444444445,7.0,9.0
J. Bravo,LPU,20.555555555566666,3.0,10.666666666666666,28.125,2.3333333333333335,5.333333333333333,43.75,0.6666666666666666,5.333333333333333,12.5,2.6666666666666665,3.3333333333333335,80.0,9.333333333333334,2.6666666666666665,3.6666666666666665,6.333333333333333,0.6666666666666666,1.6666666666666667,0.0,0.0,0.0,3.0,2.3333333333333335,-5.0,1.0,3.0
L. Mangubat,MU,26.56000000001,3.1,9.7,31.9587628866,1.0,2.6,38.4615384615,2.1,7.1,29.5774647887,0.8,1.3,61.5384615385,9.1,1.4,2.4,3.8,1.9,1.7,1.1,0.0,1.1,2.5,1.8,2.8,7.0,10.0
S. Valencia,AU,23.23166666667,3.5,9.5,36.8421052632,3.2,7.3,43.8356164384,0.3,2.2,13.6363636364,1.6,3.3,48.4848484848,8.9,0.8,2.8,3.6,1.6,1.6,1.2,0.2,1.4,1.9,2.8,-2.4,3.0,10.0
J. Abis,UPHSD,24.255000000000003,3.6,9.1,39.5604395604,3.1,7.4,41.8918918919,0.5,1.7,29.4117647059,1.2,2.2,54.5454545455,8.9,1.6,2.5,4.1,1.7,2.1,0.9,0.5,1.4,1.4,2.0,-2.1,4.0,10.0
J. Ancheta,CSB,17.0958333333375,3.5,6.875,50.9090909091,2.75,4.25,64.7058823529,0.75,2.625,28.5714285714,1.0,1.625,61.5384615385,8.75,0.25,1.75,2.0,2.375,2.0,0.75,0.0,0.75,1.75,2.5,4.875,6.0,8.0
W. Oftana,EAC,21.05166666667,3.0,8.1,37.037037037,1.3,3.2,40.625,1.7,4.9,34.693877551,0.8,1.7,47.0588235294,8.5,1.4,4.9,6.3,0.9,0.9,1.8,1.1,2.9,3.0,1.9,5.0,5.0,10.0
B. Lina,SBU,19.55,3.0,6.0,50.0,3.0,6.0,50.0,0.0,0.0,0.0,2.3333333333333335,3.0,77.7777777778,8.333333333333334,1.6666666666666667,2.3333333333333335,4.0,0.6666666666666666,1.0,0.6666666666666666,0.0,0.6666666666666666,2.0,2.0,10.666666666666666,3.0,3.0
K. Santos,CSJL,23.123333333330002,3.0,6.9,43.4782608696,2.8,6.0,46.6666666667,0.2,0.9,22.2222222222,2.1,2.5,84.0,8.3,1.9,4.6,6.5,1.2,1.8,0.7,2.8,3.5,1.4,2.4,2.3,6.0,10.0
League,League,20.32910119521696,2.854213270737141,7.27525119419228,39.2318174941,2.0843836664114375,4.480022037406437,46.52619226,0.7698296043257036,2.795229156785842,27.5408405232,1.576567593512459,2.363881771891039,66.6940120383,8.05482373933418,1.1957607003031672,2.774435257667937,3.970195957971105,1.6855834904381926,1.3410995230514118,0.7810959528538384,0.32289157499583615,1.1039875278496745,1.8637967303628709,2.0918443046856487,0.6855199698095685,4.5998302507,9.2009653031
A. Aguilar,SSCR,14.325925925933332,2.6666666666666665,7.666666666666667,34.7826086957,1.2222222222222223,2.888888888888889,42.3076923077,1.4444444444444444,4.777777777777778,30.2325581395,1.2222222222222223,1.4444444444444444,84.6153846154,8.0,0.5555555555555556,2.3333333333333335,2.888888888888889,0.7777777777777778,0.7777777777777778,0.8888888888888888,0.0,0.8888888888888888,1.3333333333333333,1.4444444444444444,1.7777777777777777,2.0,9.0
Re. Gabat,SSCR,22.320370370355555,2.888888888888889,9.555555555555555,30.2325581395,2.2222222222222223,4.555555555555555,48.7804878049,0.6666666666666666,5.0,13.3333333333,1.4444444444444444,2.0,72.2222222222,7.888888888888889,1.4444444444444444,2.4444444444444446,3.888888888888889,0.6666666666666666,1.0,0.5555555555555556,0.1111111111111111,0.6666666666666666,2.5555555555555554,2.0,-3.5555555555555554,2.0,9.0
J. Boral,UPHSD,23.21333333334,2.3,9.2,25.0,1.7,5.7,29.8245614035,0.6,3.5,17.1428571429,2.4,3.3,72.7272727273,7.6,1.7,4.3,6.0,1.6,1.3,0.6,0.4,1.0,1.4,2.9,-6.0,4.0,10.0
J. Payosing,SBU,19.33333333334,2.9,7.0,41.4285714286,2.6,4.9,53.0612244898,0.3,2.1,14.2857142857,1.3,2.8,46.4285714286,7.4,1.5,4.1,5.6,1.6,0.9,0.4,0.2,0.6,1.7,1.8,0.5,7.0,10.0
