PLAYER,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
J. Barba,LPU,28.900000000025,8.25,15.5,53.2258064516,5.25,9.0,58.3333333333,3.0,6.5,46.1538461538,3.25,4.75,68.4210526316,22.75,1.0,4.5,5.5,3.25,2.75,0.5,0.0,0.5,2.5,3.75,3.5,2.0,4.0
R. Are,SSCR,28.48,5.4,13.4,40.2985074627,4.2,8.8,47.7272727273,1.2,4.6,26.0869565217,6.4,8.2,78.0487804878,18.4,2.2,3.2,5.4,6.0,2.2,1.6,0.2,1.8,3.6,6.4,-2.2,2.0,5.0
P. Javillonar,CSJL,26.605555555566667,6.0,11.333333333333334,52.9411764706,3.3333333333333335,5.333333333333333,62.5,2.6666666666666665,6.0,44.4444444444,2.6666666666666665,3.6666666666666665,72.7272727273,17.333333333333332,2.0,4.0,6.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.3333333333333333,3.3333333333333335,3.0,-6.333333333333333,2.0,3.0
J. Estrada,CSJL,29.896666666660003,6.4,12.4,51.6129032258,6.4,12.0,53.3333333333,0.0,0.4,0.0,4.4,5.8,75.8620689655,17.2,2.2,5.2,7.4,3.2,5.0,0.6,1.4,2.0,3.0,3.8,-0.6,3.0,5.0
C. Escamis,MU,32.2625,5.25,16.25,32.3076923077,3.0,7.25,41.3793103448,2.25,9.0,25.0,3.75,4.0,93.75,16.5,0.5,3.0,3.5,4.0,3.25,2.75,0.75,3.5,1.5,3.75,3.5,3.0,4.0
M. Gojo Cruz,UPHSD,27.679999999979998,5.6,12.8,43.75,3.6,7.0,51.4285714286,2.0,5.8,34.4827586207,3.0,3.8,78.9473684211,16.2,1.2,4.8,6.0,2.8,1.2,1.6,1.2,2.8,1.2,3.2,9.0,3.0,5.0
B. Sajonia,SBU,22.3,4.6,11.8,38.9830508475,2.8,7.2,38.8888888889,1.8,4.6,39.1304347826,5.0,7.0,71.4285714286,16.0,1.2,3.2,4.4,2.0,2.2,0.6,0.6,1.2,1.4,5.8,7.2,3.0,5.0
M. Guadana,LPU,29.325,5.25,13.75,38.1818181818,3.75,7.5,50.0,1.5,6.25,24.0,3.75,4.75,78.9473684211,15.75,0.75,3.75,4.5,2.5,1.5,1.0,0.25,1.25,1.75,3.75,-0.5,2.0,4.0
Y. Andrada,SBU,29.633333333320003,5.6,10.8,51.8518518519,3.4,5.2,65.3846153846,2.2,5.6,39.2857142857,1.6,2.8,57.1428571429,15.0,2.0,5.6,7.6,1.2,1.6,0.4,0.4,0.8,0.8,2.4,6.2,3.0,5.0
S. Argente,JRU,20.76333333332,4.2,12.8,32.8125,1.6,4.2,38.0952380952,2.6,8.6,30.2325581395,3.2,4.8,66.6666666667,14.2,0.6,2.6,3.2,1.8,1.4,1.4,0.0,1.4,2.4,3.8,3.8,1.0,5.0
