TEAM,MINS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP,W,L,FG%,2P%,3P%,FT%
AU,225.0,32.0,86.0,28.0,67.0,4.0,19.0,12.0,29.0,80.0,14.0,43.0,57.0,14.0,10.0,7.0,0.0,7.0,28.0,26.0,-7.0,0.0,1.0,0.0,1.0,37.2093023255814,41.791044776119406,21.05263157894737,41.37931034482759
CSB,425.0,58.0,139.0,48.0,90.0,10.0,49.0,22.0,38.0,148.0,28.0,64.0,92.0,31.0,28.0,14.0,9.0,23.0,36.0,43.0,18.0,25.0,2.0,2.0,0.0,41.726618705035975,53.333333333333336,20.408163265306122,57.89473684210526
CSJL,200.0,27.0,57.0,22.0,34.0,5.0,23.0,25.0,33.0,84.0,12.0,25.0,37.0,16.0,22.0,5.0,4.0,9.0,25.0,28.0,-7.0,0.0,1.0,0.0,1.0,47.36842105263158,64.70588235294117,21.73913043478261,75.75757575757575
EAC,225.0,30.0,83.0,20.0,53.0,10.0,30.0,17.0,28.0,87.0,8.0,40.0,48.0,22.0,10.0,4.0,11.0,15.0,27.0,26.0,7.0,14.0,1.0,1.0,0.0,36.144578313253014,37.735849056603776,33.333333333333336,60.714285714285715
JRU,200.0,20.0,55.0,14.0,38.0,6.0,17.0,20.0,34.0,66.0,11.0,22.0,33.0,15.0,16.0,7.0,3.0,10.0,23.0,26.0,-16.0,0.0,1.0,0.0,1.0,36.36363636363637,36.8421052631579,35.294117647058826,58.8235294117647
LPU,200.0,20.0,69.0,14.0,38.0,6.0,31.0,17.0,26.0,63.0,11.0,26.0,37.0,8.0,10.0,6.0,0.0,6.0,25.0,22.0,-16.0,0.0,1.0,0.0,1.0,28.985507246376812,36.8421052631579,19.35483870967742,65.38461538461539
MU,200.0,25.0,71.0,19.0,40.0,6.0,31.0,9.0,14.0,65.0,11.0,23.0,34.0,14.0,16.0,12.0,2.0,14.0,21.0,15.0,-13.0,0.0,1.0,0.0,1.0,35.2112676056338,47.5,19.35483870967742,64.28571428571429
SBU,425.0,52.0,136.0,35.0,81.0,17.0,55.0,23.0,45.0,144.0,32.0,63.0,95.0,27.0,24.0,9.0,9.0,18.0,44.0,46.0,11.0,15.0,2.0,1.0,1.0,38.23529411764706,43.20987654320987,30.90909090909091,51.111111111111114
SSCR,200.0,34.0,86.0,30.0,55.0,4.0,31.0,19.0,24.0,91.0,17.0,17.0,34.0,16.0,8.0,11.0,1.0,12.0,28.0,25.0,7.0,13.0,1.0,1.0,0.0,39.53488372093023,54.54545454545455,12.903225806451612,79.16666666666667
UPHSD,200.0,29.0,67.0,24.0,44.0,5.0,23.0,19.0,29.0,82.0,17.0,25.0,42.0,16.0,12.0,8.0,5.0,13.0,26.0,22.0,16.0,15.0,1.0,1.0,0.0,43.28358208955224,54.54545454545455,21.73913043478261,65.51724137931035
League,250.0,32.7,84.9,25.4,54.0,7.3,30.9,18.3,30.0,91.0,16.1,34.8,50.9,17.9,15.6,8.3,4.4,12.7,28.3,27.9,0.0,8.2,1.2,0.6,0.6,38.515901060070675,47.03703703703704,23.624595469255663,61.0
