PLAYER,TEAM,SP,GP,MPG,EWA,PER,WS,OWS,DWS,EFF,GmSc,TS%,EFG%,PPWS,FTR,REB%,OREB%,DREB%,AR,pAST%,hAST%,TOR,hTO%,AST/TO,STL/TO,PPR,USG%,STL%,BLK%,aSP,ORtg,DRtg,Floor%,Stop%,FFI,PIE,AV,DRE/100,DRE/75,POS
R. Are,SSCR,99.0,3.0,28.661111111133334,1.1947954734722723,38.750283795434065,0.8456853691141271,0.8560694165992851,-0.010384047485158128,24.666666666666668,19.7,58.91016200294551,47.61904761904761,1.1782032400589102,0.6666666666666666,9.343058115922913,7.1309015638408,12.31428799469987,13.12539209113426,46.33632448853138,27.939747327502435,2.8533461067683175,6.073858114674442,4.6,1.0,11.507368177816453,26.7438096769073,,0.0,99.0,136.1901614499247,106.31360033682326,59.7748111560784,0.527935688928094,54.76046283369513,18.506998444790046,1.201446661775317,16.940816129153742,12.705612096865305,58.41095346664142
A. Liwag,CSB,86.66666666666667,3.0,34.43333333333333,0.734650241459023,25.114743323646042,0.7201850123170085,0.29302612381966026,0.42715888849734823,24.333333333333332,13.833333333333336,50.872093023255815,50.0,1.0174418604651163,0.3333333333333333,23.025580930507818,13.799018359063197,30.934063134603207,3.187338047230122,11.132386338335486,11.05379513633014,3.718561055101809,12.896094325718495,0.8571428571428571,0.14285714285714285,-2.985523430841772,20.817442857757847,,190.56185256610593,83.2,105.94648051021301,73.84268643516259,53.62044055248809,0.7887950615045667,51.83016340803719,23.85120350109409,1.1892491518362605,13.94781615236927,10.460862114276953,62.7482861988251
B. Sajonia,SBU,79.0,3.0,25.24444444443333,0.9627862894217569,36.37282273422425,0.7312313489225624,0.5750614774032314,0.15616987151933096,17.666666666666668,15.066666666666668,55.61440677966102,48.837209302325576,1.1122881355932204,0.7209302325581395,11.382952889757318,6.877200704228379,15.217635600845776,6.535842274127621,30.76123810567647,12.389867841409693,5.083432879877038,9.636563876651982,1.2857142857142858,0.42857142857142855,-1.3604463076898607,38.54381794954593,,74.34811572138787,75.84,116.40671555124871,89.6770863248639,53.57661368231531,0.6264955413112304,55.45341913017874,18.85593220338983,0.9353789828560723,15.449511544639227,11.58713365847942,45.90074047342932
W. Ynot,CSB,78.33333333333333,3.0,29.4388888889,0.42829338179139975,20.567533844880792,0.5380611414423916,0.23567322717569972,0.30238791426669187,14.333333333333334,9.533333333333333,45.49808429118774,45.0,0.9099616858237548,0.1,10.887395299544426,6.20772539009112,14.898540936218689,9.320211934669203,32.280001032943915,23.162445954292778,4.970779698490241,12.353304508956148,1.875,0.75,2.328020912669097,25.095632380876918,,0.0,75.19999999999999,101.67287522819319,79.27522819873522,43.985860627129995,0.6594441679130574,44.498850153395665,14.660831509846828,0.7996170519737711,9.151020119998831,6.863265089999123,53.64684875245235
M. Gojo Cruz,UPHSD,77.5,2.0,25.9833333333,0.7760105854837532,40.83503419161664,0.6219629916660435,0.46389259067617067,0.15807040098987282,22.0,17.7,81.31970260223048,75.0,1.6263940520446096,0.4444444444444444,8.102359812305725,1.9005535362198618,15.177659930093824,5.172478366690253,21.342059864518152,16.93766937669377,3.1034870200141516,10.16260162601626,1.6666666666666667,1.6666666666666667,0.6729124189755701,20.377496163663306,,42.76245456494688,77.5,153.57002589927328,83.12348476152364,62.57855394629131,0.718039658410475,61.2709056189071,23.529411764705884,0.8135237057665631,23.114152340726157,17.33561425554462,48.3327299365718
J. Miller-Aquinginoc,CSJL,77.0,1.0,23.0,0.41971527436518385,47.49946528147911,0.2728146752515906,0.26323635525111555,0.00957832000047503,22.0,17.6,101.5228426395939,100.0,2.030456852791878,0.2857142857142857,5.230467473030402,0.0,8.381351492928236,11.901347816565137,54.127198917456035,33.602150537634415,4.760539126626054,13.440860215053766,2.5,1.0,6.193212754561475,20.52389954091277,,0.0,77.0,164.34583400638766,102.37431527171117,70.49276018777294,0.5699895523619201,68.09557950405778,12.054794520547945,0.48372408956048846,23.7370389669651,17.802779225223823,42.0120483584275
J. Barba,LPU,72.0,3.0,28.744444444466666,0.8620992749931374,30.914544368784693,0.4881542810129932,0.5801543767651959,-0.09200009575220269,19.333333333333332,15.666666666666666,64.1025641025641,61.36363636363637,1.282051282051282,0.38636363636363635,8.15147510969088,4.525441466239537,11.996321128178081,5.799489475368333,25.12527742490807,14.602803738317757,4.059642632757832,10.22196261682243,1.4285714285714286,0.2857142857142857,-0.37724164462704474,28.84968934727705,,0.0,72.0,120.13187204661979,113.25117219535478,51.72982730961249,0.4372416976434624,55.23108672596754,13.480055020632737,1.000810148179291,10.41428723164511,7.810715423733832,57.4763235193496
R. Escobido,SSCR,70.66666666666667,3.0,30.21666666666667,0.25317987707417483,16.43380643043675,0.12447558909607487,0.12915197754042948,-0.004676388444354605,10.333333333333334,8.133333333333333,38.08653260207191,36.507936507936506,0.7617306520414382,0.09523809523809523,8.30819719044465,5.797544900777434,11.680347814801594,4.330329123685725,16.242418089993144,10.303967027305513,2.1651645618428623,5.151983513652756,2.0,1.5,1.4083830027910988,29.7801829930381,,0.0,70.66666666666667,92.8871177733063,105.80631341904515,42.833589347779615,0.5395559837786791,41.649963871440804,5.909797822706065,0.6256075418983653,1.4222661363217823,1.0666996022413366,61.58115446885373
J. Estrada,CSJL,68.5,2.0,30.3833333333,0.46178094808174613,26.0944877506088,0.29928567349339474,0.2826277384896213,0.01665793500377346,19.0,12.600000000000001,61.47540983606557,54.166666666666664,1.2295081967213115,0.5,14.847871186484928,10.532089961613309,17.44773939423892,4.504624242149727,18.343294761490455,11.825922421948912,7.207398787439563,18.92147587511826,0.625,0.125,-8.204393199277217,29.311717165025097,,67.16894108171753,68.5,109.01219957000954,103.41790866473305,52.841267617920195,0.545879253171048,54.471234962129444,15.89041095890411,0.7288168464852351,6.265355854348472,4.699016890761355,55.49852475168791
C. Escamis,MU,67.5,2.0,31.425,0.04654952845194123,12.308696136649194,0.07666084561745909,-0.09430583813954324,0.17096668375700233,8.5,6.8000000000000025,36.47586980920315,31.818181818181817,0.7295173961840629,0.18181818181818182,5.3036329885971885,0.0,11.57156288421205,6.442596749920583,28.648805926721728,16.116035455278002,4.831947562440438,12.087026591458502,1.3333333333333333,1.1666666666666667,-1.0476852333000135,28.489779958527667,,0.0,67.5,77.21814297832185,85.4812007213735,33.499823986199246,0.7008768404884772,39.246558563935345,7.887323943661972,0.39867352517108046,3.5022798354633644,2.6267098765975234,62.08676648975907
