TEAM,MINS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP,W,L,FG%,2P%,3P%,FT%
AU,2250.0,319.0,795.0,271.0,587.0,48.0,208.0,160.0,281.0,846.0,132.0,279.0,411.0,155.0,136.0,107.0,32.0,139.0,228.0,255.0,-48.0,38.0,11.0,3.0,8.0,40.125786163522015,46.16695059625213,23.076923076923077,56.93950177935943
CSB,2250.0,347.0,766.0,271.0,490.0,76.0,276.0,147.0,249.0,917.0,159.0,343.0,502.0,200.0,180.0,80.0,45.0,125.0,208.0,217.0,134.0,125.0,11.0,9.0,2.0,45.300261096605745,55.30612244897959,27.536231884057973,59.036144578313255
CSJL,2275.0,284.0,708.0,207.0,411.0,77.0,297.0,156.0,207.0,801.0,103.0,314.0,417.0,174.0,167.0,64.0,52.0,116.0,221.0,202.0,-17.0,77.0,11.0,6.0,5.0,40.112994350282484,50.36496350364963,25.925925925925927,75.3623188405797
EAC,2225.0,286.0,789.0,198.0,485.0,88.0,304.0,163.0,281.0,823.0,134.0,288.0,422.0,194.0,150.0,89.0,41.0,130.0,245.0,240.0,-7.4,71.0,11.0,5.0,6.0,36.248415716096325,40.824742268041234,28.94736842105263,58.00711743772242
JRU,2200.0,289.0,756.0,231.0,531.0,58.0,225.0,207.0,302.0,843.0,144.0,257.0,401.0,190.0,161.0,87.0,45.0,132.0,225.0,254.0,-43.0,44.0,11.0,3.0,8.0,38.22751322751323,43.50282485875706,25.77777777777778,68.54304635761589
LPU,2225.0,309.0,779.0,220.0,450.0,89.0,329.0,183.0,257.0,890.0,113.0,282.0,395.0,188.0,118.0,85.0,18.0,103.0,217.0,229.0,-6.0,77.0,11.0,6.0,5.0,39.66623876765083,48.888888888888886,27.051671732522795,71.20622568093385
MU,2225.0,294.0,752.0,200.0,426.0,94.0,326.0,163.0,255.0,845.0,148.0,301.0,449.0,167.0,147.0,80.0,29.0,109.0,262.0,223.0,28.2,97.0,11.0,8.0,3.0,39.09574468085106,46.948356807511736,28.834355828220858,63.92156862745098
SBU,2450.0,294.0,770.0,189.0,437.0,105.0,333.0,141.0,240.0,834.0,135.0,356.0,491.0,162.0,139.0,58.0,30.0,88.0,213.0,224.0,49.0,106.0,12.0,8.0,4.0,38.18181818181818,43.24942791762014,31.53153153153153,58.75
SSCR,2225.0,309.0,852.0,230.0,504.0,79.0,348.0,187.0,256.0,884.0,146.0,243.0,389.0,153.0,119.0,112.0,16.0,128.0,282.0,223.0,-75.0,37.0,11.0,3.0,8.0,36.267605633802816,45.63492063492063,22.701149425287355,73.046875
UPHSD,2475.0,288.0,803.0,211.0,505.0,77.0,298.0,138.0,219.0,791.0,138.0,347.0,485.0,203.0,165.0,89.0,46.0,135.0,211.0,212.0,-15.0,58.0,12.0,5.0,7.0,35.865504358655045,41.78217821782178,25.838926174496645,63.013698630136986
League,2280.0,301.9,777.0,222.8,482.6,79.1,294.4,164.5,254.7,847.4,135.2,301.0,436.2,178.6,148.2,85.1,35.4,120.5,231.2,227.9,-0.02,73.0,11.2,5.6,5.6,38.854568854568846,46.166597596353085,26.86820652173913,64.58578720062819
