TEAM,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
CSB,18.166666666666668,42.5,5.666666666666667,28.833333333333332,10.833333333333334,19.333333333333332,11.666666666666666,21.0,11.5,11.833333333333334,7.166666666666667,3.1666666666666665,19.0,19.333333333333332,-15.0,14.0,6.0,200.0,23.833333333333332,71.33333333333333,33.411214953300004,42.7450980392,19.6531791908,56.0344827586,64.16666666666667,32.666666666666664,10.333333333333334
SBU,15.833333333333334,38.666666666666664,8.166666666666666,33.166666666666664,11.833333333333334,18.333333333333332,11.833333333333334,24.833333333333332,14.333333333333334,9.333333333333334,6.5,2.6666666666666665,22.833333333333332,19.333333333333332,-3.8333333333333335,38.0,6.0,200.0,24.0,71.83333333333333,33.4106728538,40.9482758621,24.6231155779,64.5454545455,68.0,36.666666666666664,9.166666666666666
MU,17.428571428571427,41.57142857142857,6.571428571428571,21.857142857142858,19.714285714285715,28.142857142857142,9.428571428571429,26.714285714285715,15.142857142857142,13.428571428571429,7.428571428571429,3.0,19.142857142857142,23.142857142857142,-3.142857142857143,23.0,7.0,200.0,24.0,63.42857142857143,37.8378378378,41.9243986254,30.0653594771,70.0507614213,74.28571428571429,36.142857142857146,10.428571428571429
CSJL,20.714285714285715,49.0,6.714285714285714,28.0,13.285714285714286,20.857142857142858,14.714285714285714,23.285714285714285,16.142857142857142,11.142857142857142,8.857142857142858,3.142857142857143,20.285714285714285,20.428571428571427,-0.8571428571428571,25.0,7.0,200.0,27.428571428571427,77.0,35.6215213358,42.2740524781,23.9795918367,63.698630137,74.85714285714286,38.0,12.0
League,20.136363636363637,43.515151515151516,6.803030303030303,26.227272727272727,15.363636363636365,23.484848484848484,11.96969696969697,27.363636363636363,15.696969696969697,13.31818181818182,7.5,3.242424242424242,21.409090909090914,21.09090909090909,0.0,43.2,6.6,200.0,26.93939393939394,69.74242424242425,38.6269824028,46.2743732591,25.9387637204,65.4193548387,76.04545454545455,39.333333333333336,10.742424242424244
AU,20.0,44.57142857142857,8.0,26.142857142857142,17.0,24.285714285714285,10.142857142857142,30.571428571428573,17.571428571428573,15.428571428571429,7.142857142857143,4.285714285714286,23.0,19.857142857142858,1.0,66.0,7.0,200.0,28.0,70.71428571428571,39.595959596,44.8717948718,30.6010928962,70.0,81.0,40.714285714285715,11.428571428571429
UPHSD,18.428571428571427,41.857142857142854,7.0,30.142857142857142,11.142857142857142,18.857142857142858,13.714285714285714,28.571428571428573,14.142857142857142,13.142857142857142,9.142857142857142,2.5714285714285716,19.142857142857142,17.142857142857142,1.4285714285714286,38.0,7.0,200.0,25.428571428571427,72.0,35.3174603175,44.0273037543,23.2227488152,59.0909090909,69.0,42.285714285714285,11.714285714285714
EAC,19.0,43.166666666666664,6.0,25.0,15.5,25.833333333333332,14.0,32.5,15.666666666666666,15.5,6.833333333333333,3.6666666666666665,22.833333333333332,22.833333333333332,2.1666666666666665,53.0,6.0,200.0,25.0,68.16666666666667,36.6748166259,44.0154440154,24.0,60.0,71.5,46.5,10.5
LPU,25.333333333333332,45.0,7.166666666666667,25.833333333333332,17.166666666666668,25.666666666666668,13.333333333333334,30.0,19.0,13.666666666666666,6.666666666666667,3.1666666666666665,22.166666666666668,22.166666666666668,3.1666666666666665,43.0,6.0,200.0,32.5,70.83333333333333,45.8823529412,56.2962962963,27.7419354839,66.8831168831,89.33333333333333,43.333333333333336,9.833333333333334
JRU,23.714285714285715,45.714285714285715,6.571428571428571,21.714285714285715,15.285714285714286,21.714285714285715,11.142857142857142,24.285714285714285,13.857142857142858,13.571428571428571,8.571428571428571,3.4285714285714284,24.714285714285715,19.857142857142858,4.857142857142857,69.0,7.0,200.0,30.285714285714285,67.42857142857143,44.9152542373,51.875,30.2631578947,70.3947368421,82.42857142857143,35.42857142857143,12.0
SSCR,22.428571428571427,42.42857142857143,6.142857142857143,22.714285714285715,21.0,31.142857142857142,10.142857142857142,31.714285714285715,19.285714285714285,15.714285714285714,6.285714285714286,3.2857142857142856,21.142857142857142,26.714285714285715,8.285714285714286,63.0,7.0,200.0,28.571428571428573,65.14285714285714,43.8596491228,52.861952862,27.0440251572,67.4311926606,84.28571428571429,41.857142857142854,9.571428571428571
