,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
AU,121.0,273.0,48.0,157.0,111.0,152.0,63.0,182.0,108.0,97.0,44.0,29.0,140.0,121.0,9.0,66.0,6.0,1200.0,169.0,430.0,39.30232558139535,44.32234432234432,30.573248407643312,73.02631578947368,497.0,245.0,73.0
CSJL,104.0,232.0,33.0,133.0,71.0,113.0,68.0,112.0,75.0,56.0,44.0,17.0,107.0,107.0,5.0,25.0,5.0,1000.0,137.0,365.0,37.534246575342465,44.827586206896555,24.81203007518797,62.83185840707964,378.0,180.0,61.0
LPU,121.0,230.0,35.0,133.0,86.0,131.0,73.0,148.0,93.0,65.0,35.0,16.0,114.0,116.0,-6.0,28.0,5.0,1000.0,156.0,363.0,42.97520661157025,52.608695652173914,26.31578947368421,65.64885496183206,433.0,221.0,51.0
EAC,92.0,225.0,31.0,130.0,77.0,138.0,81.0,164.0,77.0,70.0,36.0,15.0,116.0,114.0,11.0,40.0,5.0,1000.0,123.0,355.0,34.647887323943664,40.888888888888886,23.846153846153847,55.79710144927536,354.0,245.0,51.0
UPHSD,109.0,245.0,38.0,167.0,69.0,122.0,76.0,161.0,80.0,77.0,56.0,13.0,119.0,108.0,1.0,26.0,6.0,1200.0,147.0,412.0,35.679611650485434,44.48979591836735,22.75449101796407,56.557377049180324,401.0,237.0,69.0
SSCR,133.0,258.0,35.0,133.0,128.0,188.0,61.0,196.0,116.0,101.0,38.0,22.0,125.0,165.0,39.0,51.0,6.0,1200.0,168.0,391.0,42.966751918158565,51.55038759689923,26.31578947368421,68.08510638297872,499.0,257.0,60.0
CSB,86.0,212.0,27.0,141.0,54.0,97.0,62.0,111.0,56.0,62.0,36.0,19.0,97.0,97.0,-65.0,14.0,5.0,1000.0,113.0,353.0,32.01133144475921,40.56603773584906,19.148936170212767,55.670103092783506,307.0,173.0,55.0
JRU,141.0,275.0,37.0,120.0,96.0,136.0,64.0,146.0,86.0,81.0,55.0,23.0,149.0,120.0,27.0,56.0,6.0,1200.0,178.0,395.0,45.063291139240505,51.27272727272727,30.833333333333332,70.58823529411765,489.0,210.0,78.0
SBU,73.0,189.0,43.0,174.0,61.0,96.0,64.0,123.0,70.0,47.0,34.0,13.0,119.0,95.0,-25.0,25.0,5.0,1000.0,116.0,363.0,31.955922865013775,38.62433862433863,24.71264367816092,63.541666666666664,336.0,187.0,47.0
MU,93.0,215.0,31.0,108.0,88.0,131.0,45.0,142.0,76.0,68.0,37.0,14.0,93.0,116.0,4.0,23.0,5.0,1000.0,124.0,323.0,38.39009287925697,43.25581395348837,28.703703703703702,67.17557251908397,367.0,187.0,51.0
League,107.3,235.4,35.8,139.6,84.1,130.4,65.7,148.5,83.7,72.4,41.5,18.1,117.9,115.9,0.0,35.4,5.4,1080.0,143.1,375.0,38.16,45.58198810535259,25.644699140401144,64.49386503067484,406.1,214.2,59.6
